COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
1739,CHEM F367,LABORATORY PROJECT,No text book required
1688,CHEM F376,DESIGN PROJECT,No text book required
1755,CHEM F377,DESIGN PROJECT,No text book required
1573,CHEM F412,PHOTOCHEM & LASER SPECTR,(i) K. K. Rohatgi-Mukherjee Fundamentals of PhotochemistryJohn Wiley & Sons
,,,(ii) J. R. LakowiczPrinciples of Fluorescence Spectroscopy Springer; 3rd edition
,,,(iii) W. T. Silvast Laser FundamentalsCambridge University Press; 2nd edition
1578,CHEM F414,BIO & CHEMICAL SENSORS,"(i) Brian R. EgginsChemical Sensors and Biosensors 2007, John Wiley &    Sons Ltd."
,,,"(ii) Jiri JantaPrinciples of Chemical Sensors 2009, 2nd Ed., Springer"
736,CHEM G551,ADV ORGANIC CHEMISTRY,TO BE ANNOUNCED
7,CHEM G552,ADVANCED INORGANIC CHEMISTRY,TO BE ANNOUNCED
1008,CS F111,COMPUTER PROGRAMMING,"Hanley and KoffmanProblem solving and program design in C Pearson, 2014"
1094,CS F211,DATA STRUCTURES & ALGO,"TH Cormen, CE Leiserson, RL Rivest, C Stein Introduction toAlgorithms3rd Ed., MIT Press, PHI, 2010"
1095,CS F212,DATA BASE SYSTEMS,"Elmarsi R, & Navathe S B, Fundamental of Database System7e, Pearson, 2016."
1092,CS F213,OBJECT ORIENTED PROG,"(i) Matt WeisfeldThe object-oriented thought process Third Edition, Addison-Wesley,2013."
,,,(ii) Herbert SchildtThe Complete Reference- Java12th Edition (McGraw Hill; Standard Edition)
1313,CS F241,MICROPROC & INTERFACING,"Lyla B DasThe x86 Microprocessors: 8086 to Pentium, Multicores, Atom and the8051 MicrocontrollerArchitecture, Programming and Interfacing, Second Edition"
1655,CS F266,STUDY PROJECT,No text book required
