COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
2546,MGTS F314,ESSENTIALS OF FINANCIALMGT.,3,-,3,1,NIVEDITA SINHA,J218,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
2547,MGTS F315,FOUNDATIONS OFBUSINESS ANALYTICS,-,-,3,1,RISHI KUMAR,J219,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Rishi Kumar,J219,Th,10,,
2548,MGTS F316,MANAGERIAL &LEADERSHIP SKILLS,3,-,3,1,R RAGHUNATHAN,J219,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
389,MSE G512,MANUFACT PLANNING &CONT,-,-,4,1,AMRITHA PRIYADARSHINI,G106,M W F,2,12/03 - 9.30 - 11.00AM,08/05 FN
,,Practical,,,,,Sreejith S,WS,M W,8 9,,
2066,MST G522,ADVANCED COMPOSITES,3,2,5,1,PAVAN KUMAR P,G104,T Th,5,15/03 - 2.00 - 3.30PM,17/05 FN
,,,,,,,Pavan Kumar P,G104,W,10,,
,,Practical,,,,,Jose Santo,LAB,Th,8 9,,
1087,PHA F214,ANATOMY PHYSIO &HYGIENE,2,1,3,1,ARTI DHAR,G105,T Th,9,12/03 - 2.00 - 3.30PM,08/05 AN
,,Practical,,,,1,Arti Dhar,A009,M,7 8,,
,,,,,,,Jegadheeswari V,,,,,
,,,,,,,Karnik aaditi sameer,,,,,
,,,,,,,Sai Shreya,,,,,
,,,,,,,Suraj.s,,,,,
,,,,,,,Trupti Ghatage,,,,,
,,,,,,2,Arti Dhar,A009,W,7 8,,
,,,,,,,Jegadheeswari V,,,,,
,,,,,,,Karnik aaditi sameer,,,,,
,,,,,,,Sai Shreya,,,,,
,,,,,,,Suraj.s,,,,,
,,,,,,,Trupti Ghatage,,,,,
,,,,,,3,Arti Dhar,A009,F,7 8,,
,,,,,,,Jegadheeswari V,,,,,
,,,,,,,Karnik aaditi sameer,,,,,
,,,,,,,Sai Shreya,,,,,
,,,,,,,Suraj.s,,,,,
,,,,,,,Trupti Ghatage,,,,,
,,Tutorial,,,,,Arti Dhar,G105,M,10,,
2504,PHA F216,PHARMACEUTICALFORMULATIONS I,2,1,3,1,D SRIRAM,G206,M W,3,15/03 - 2.00 - 3.30PM,17/05 FN
,,,,,,,Yuvaraj Singh,,,,,
,,Practical,,,,1,D Sriram,A001,T,4 5,,
,,,,,,,Aditi pradhan,,,,,
,,,,,,,Deepika K,,,,,
,,,,,,,K Vandana,,,,,
,,,,,,,Priyadarshini Sathe,,,,,
,,,,,,,Rupal Kothari,,,,,
,,,,,,,SONAL SUKHADEO FANDE,,,,,
,,,,,,,Yuvaraj Singh,,,,,
,,,,,,2,D Sriram,A001,Th,4 5,,
,,,,,,,Aditi pradhan,,,,,
,,,,,,,Deepika K,,,,,
,,,,,,,K Vandana,,,,,
,,,,,,,Priyadarshini Sathe,,,,,
,,,,,,,Rupal Kothari,,,,,
,,,,,,,SONAL SUKHADEO FANDE,,,,,
,,,,,,,Yuvaraj Singh,,,,,
,,,,,,3,D Sriram,A001,F,6 7,,
,,,,,,,Aditi pradhan,,,,,
,,,,,,,Deepika K,,,,,
,,,,,,,K Vandana,,,,,
,,,,,,,Priyadarshini Sathe,,,,,
,,,,,,,Rupal Kothari,,,,,
,,,,,,,SONAL SUKHADEO FANDE,,,,,
,,Tutorial,,,,,D Sriram,G206,F,3,,
,,,,,,,Yuvaraj Singh,,,,,
1291,PHA F241,PHARMACEUTICALCHEMISTRY,2,1,3,1,D SRIRAM,G206,M W,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,Practical,,,,1,D Sriram,A001,M,6 7,,
,,,,,,,Ambati Himaja,,,,,
,,,,,,,Regula sanjeev,,,,,
,,,,,,2,D Sriram,A001,W,6 7,,
,,,,,,,Ambati Himaja,,,,,
,,,,,,,Regula sanjeev,,,,,
,,Tutorial,,,,,D Sriram,G206,F,9,,
1292,PHA F242,BIOLOGICAL CHEMISTRY,2,1,3,1,BALRAM GHOSH,G105,M W,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,Practical,,,,1,Balram Ghosh,A025,M,6 7,,
,,,,,,,Aparajita Ghosh,,,,,
,,,,,,,Priyanka ghosh,,,,,
,,,,,,,Sripathi Nikhitha,,,,,
,,,,,,2,Balram Ghosh,A025,F,6 7,,
,,,,,,,Aparajita Ghosh,,,,,
,,,,,,,Priyanka ghosh,,,,,
,,,,,,,Sripathi Nikhitha,,,,,
,,Tutorial,,,,,Balram Ghosh,G105,F,2,,
1665,PHA F266,STUDY PROJECT,-,-,3,1,ABHIJEET RAJENDRA JOS,,,,,
