COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1545,FIN F313,SECUR ANAL & PORTFOLMGT,3,-,3,1,C H YAGANTI,F208,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
1542,FIN F315,FINANCIAL MANAGEMENT,3,-,3,1,Sravani Bharandev,G208,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Sravani Bharandev,G208,M,10,,
,,,,,,2,NIVEDITA SINHA,F207,T Th,2,,
,,,,,,,Nivedita Sinha,F207,M,10,,
1942,FIN F414,FINANCIAL RISK ANALYTICSAND MANAGEMENT,3,-,3,1,T NAGARAJU,J119,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
,,,,,,2,TO BE ANNOUNCED,J120,M W F,2,,
1135,GS F223,INTRO TO MASS COMM,3,-,3,1,SPANDAN BHATTACHARYA,J121,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Spandan Bhattacharya,J121,M,10,,
1171,GS F233,PUBLIC POLICY,3,-,3,1,HARSH MITTAL,J120,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
1165,GS F245,EFFECTIVE PUBLIC SPEAK,2,1,3,1,SANTOSH  MAHAPATRA,J115,M W F,8,16/03 - 11.00 - 12.30PM,18/05 AN
1137,GS F322,CRITI ANAL OF LIT & CINE,3,-,3,1,MG PRASUNA,J119,M W F,8,16/03 - 11.00 - 12.30PM,18/05 AN
1177,GS F333,PUBLIC ADMINISTRATION,3,-,3,1,LAVANYA SURESH,J107,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Lavanya Suresh,J107,Th,10,,
1164,GS F342,COMPUTER MEDIATEDCOMM,3,-,3,1,SANTOSH  MAHAPATRA,J115,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Santosh  Mahapatra,J115,F,10,,
2565,GS F345,CONSTITUTION OF INDIA,3,-,3,1,SUCHISMITA SATPATHY,J107,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Suchismita Satpathy,J107,F,10,,
