COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1265,ME F243,PRODUCTION TECHNIQUESI,2,1,3,1,N SURESH KUMAR REDDY,G206,M W,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,Practical,,,,,N Suresh Kumar Reddy,LAB,F,2 3,,
,,Tutorial,,,,,N Suresh Kumar Reddy,F201,Th,1,,
1663,ME F266,STUDY PROJECT,-,-,3,1,SANTANU DATTA,,,,,
2406,ME F318,COMPUTER-AIDED DESIGN,2,1,3,1,SP REGALLA,F103,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,Practical,,,,1,TO BE ANNOUNCED,D208 B,M,7 8,,
,,,,,,,Aditya Nema,,,,,
,,,,,,,Suswanth Poluru,,,,,
,,,,,,2,Kolla Lakshman Rao,D208 B,Th,7 8,,
,,,,,,,Himanshu shukla,,,,,
,,,,,,,Veeraiahgari Vamshi,,,,,
,,,,,,,Vicky Lad,,,,,
,,,,,,3,Kolla Lakshman Rao,D208 B,F,7 8,,
,,,,,,,Aditya Nema,,,,,
,,,,,,,Alok Kumar,,,,,
,,,,,,4,Mrinmoy saha,D208 B,T,7 8,,
,,,,,,,Alok Kumar,,,,,
,,,,,,,Suswanth Poluru,,,,,
,,Tutorial,,,,1,TO BE ANNOUNCED,G205,W,10,,
,,,,,,2,Vicky Lad,G206,W,10,,
,,,,,,3,Pardha Saradhi Gurugubelli,G207,W,10,,
,,,,,,4,Veeraiahgari Vamshi,G208,W,10,,
2407,ME F319,VIBRATIONS AND CONTROL,3,-,3,1,G R SABAREESH,F103,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Aritra chatterjee,,,,,
,,,,,,,G R Sabareesh,F103,F,10,,
,,,,,,,Aritra chatterjee,,,,,
,,Tutorial,,,,1,Pichika S V V S Narayana,F105,W,1,,
,,,,,,,G R Sabareesh,,,,,
,,,,,,2,Himanshu shukla,F107,W,1,,
,,,,,,,G R Sabareesh,,,,,
,,,,,,3,Anka datta,G208,W,1,,
,,,,,,,Aritra chatterjee,,,,,
,,,,,,4,Akashjyoti barman,G207,W,1,,
,,,,,,,Aritra chatterjee,,,,,
2408,ME F320,ENGINEERINGOPTIMIZATION,3,-,3,1,C P KIRAN,F103,M W F,4,13/03 - 2.00 - 3.30PM,11/05 AN
,,Tutorial,,,,1,C P Kiran,G207,M,1,,
,,,,,,,Vardhanapu Muralidhar,,,,,
,,,,,,2,Pardha Saradhi Gurugubelli,G208,M,1,,
,,,,,,,Vardhanapu Muralidhar,,,,,
,,,,,,3,Abhishek Sarkar,F207,M,1,,
,,,,,,,Vishista kaushik,,,,,
,,,,,,4,TO BE ANNOUNCED,F208,M,1,,
,,,,,,,Vishista kaushik,,,,,
2538,ME F321,DATA MINING INMECHANICAL SCI,2,1,3,1,KUNDAN KUMAR SINGH,G207,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
2539,ME F323,ENERGY STORAGETECHNOLOGIES,3,-,3,1,R PARAMESHWARAN,G103,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
1270,ME F341,PRIMEMOVERS & FLUIDMACH,2,1,3,1,S S DESHMUKH,F103,M W,5,16/03 - 4.00 - 5.30PM,20/05 AN
,,Practical,,,,1,S S Deshmukh,E122,T,7 8,,
,,,,,,,Kolanu Sai sandeep,,,,,
,,,,,,,Meduri Sitaram,,,,,
,,,,,,2,Supradeepan K,E122,M,7 8,,
,,,,,,,Lingampally Swetha,,,,,
,,,,,,,Meduri Sitaram,,,,,
,,,,,,3,G Prashanth Kumar Reddy,E122,W,7 8,,
,,,,,,,Lingampally Swetha,,,,,
,,,,,,,Sibin V Mathew,,,,,
,,,,,,4,G Prashanth Kumar Reddy,E122,F,7 8,,
,,,,,,,Dole mahesh,,,,,
,,,,,,,Sibin V Mathew,,,,,
,,Tutorial,,,,1,S S Deshmukh,G208,F,5,,
,,,,,,,Kolanu Sai sandeep,,,,,
,,,,,,2,Supradeepan K,G207,F,5,,
,,,,,,,Kolanu Sai sandeep,,,,,
,,,,,,3,N Jalaiah,G206,F,5,,
,,,,,,,Joshua Kumar Saladi,,,,,
,,,,,,4,Santanu Prasad Datta,G205,F,5,,
,,,,,,,Joshua Kumar Saladi,,,,,
1680,ME F366,LABORATORY PROJECT,-,-,3,1,ARITRA CHATTERJEE,,,,,
1748,ME F367,LABORATORY PROJECT,-,-,3,1,ARITRA CHATTERJEE,,,,,
