COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
2390,PHA G624,PRINCIPLES OF TOXICOLOGY,TO BE ANNOUNCED
1014,PHY F110,PHYSICS LABORATORY,Lab manual for Physics
1015,PHY F111,MECH OSCIL & WAVES,"(i) by D. Kleppner and R. Kolenkow An Introduction to MechanicsCambridge University Press, Second edition 2021"
,,,"(ii) French, Anthony P Vibrations and WavesCBS,2003"
1493,PHY F215,INTRO TO ASTRO & ASTROPH,"Hannu Karttunen Fundamentals of Astronomy6th edition 2017 edition,Springer"
1482,PHY F241,ELECTROMAGNETIC THEORY II,"David Griffiths, JIntroduction to Electrodynamics PHI, 4th ed. 2018"
1483,PHY F242,QUANTUM MECHANICS I,"D J GriffithsIntroduction to Quantum Mechanics LPE, Pearson 2nd edition"
1484,PHY F243,MATHEMATICAL METHODS OF PHYSICS,"(i) Arfken, Weber, Harris Mathematical Methods for Physicists7th edition, Academic Press, 2012"
,,,"(ii) Philippe Dennery, Andre Krzywicki Mathematics for PhysicistsDover Books on Physics, Dover Publications Inc, 1996"
1485,PHY F244,MODERN PHYSICS LAB,No text book required
1666,PHY F266,STUDY PROJECT,No text book required
1494,PHY F315,THEORY OF RELATIVITY,Robert ResnickIntroduction to Special Relativity Wiley India Ltd
1489,PHY F341,SOLID STATE PHYSICS,D. L. SidebottomFundamentals of Condensed Matter Physics and Crystalline PhysicsCambridge University Press
1490,PHY F342,ATOMIC & MOLECULAR PHY,"Bransden B.H, Joachain C.J. Physics of Atoms and MoleculesPearson, 2nd ed. 2001."
1491,PHY F343,NUCLEAR & PARTICLE PHY,"A. Das, T. FerbelIntroduction to nuclear and particle physics Publisher - World ScientificPublishing Ltd"
1492,PHY F344,ADVANCED PHYSICS LAB,No text book required
1683,PHY F366,LABORATORY PROJECT,No text book required
1751,PHY F367,LABORATORY PROJECT,No text book required
1700,PHY F376,DESIGN PROJECT,No text book required
1767,PHY F377,DESIGN PROJECT,No text book required
2136,PHY F379,THIN FILM TECHNOLOGY,TO BE ANNOUNCED
