COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
1923,ECON F315,FINANCIAL MANAGEMENT,"Richard A Brealey, Stewart C Myers, Franklin Allen and PitabasMohanty Principles of Corporate FinanceTata McGraw-Hill Publishing Company Ltd, 2012"
1449,ECON F341,PUBLIC FIN THEO & POLICY,"Musgrave, Richard A & P B Musgrave Public Finance in Theory andPracticeMcGraw-Hill Book Company, New York (2007)"
1450,ECON F342,APPLIED ECONOMETRICS,"J WooldridgeIntroductory Econometrics- A Modern Approach4th Edition (ISBNNo. 9788131516737), South Western CengageLearning, 2012"
1451,ECON F343,ECONOMIC ANAL OF PUB POL,"Bellinger, William KEconomic Analysis of Public Policy Routledge, London and New York,2007"
2184,ECON F345,BEHAVIORAL ECONOMICS,"Dhami, SanjitThe Foundations of Behavioural Economic Analysis: Volume I:Behavioural Economics of Risk, Uncertainty, and AmbiguityOxford University Press, 2019."
1565,ECON F354,DERIVATIVES & RISK MGMT,"John C. Hull & Basu Sankarshan Options, Futures and OtherDerivatives8th Edition, Pearson Education"
1547,ECON F355,BUSS ANAL & VALUATION,"(i) Palepu, Healy & BernardBusiness Analysis & Valuation - Using Financial Statements Text &Cases Cengage Learning Publisher, 3rd Edition"
,,,(ii) Damodaran A Damodaran on ValuationWiley India Pvt. Ltd. 2nd Edition
1684,ECON F366,LABORATORY PROJECT,No text book required
1741,ECON F367,LABORATORY PROJECT,No text book required
1690,ECON F376,DESIGN PROJECT,No text book required
1757,ECON F377,DESIGN PROJECT,No text book required
1566,ECON F412,SECUR ANAL & PORTFOL MGT,"(i) Reilly, Frank K & Keith C.BrownAnalysis of Investments & Management of Portfolios Cengage-L, 10thed., 2012"
,,,"(ii) Zvi Bodie, Alex Kane, Alan Marcus, Pitabas Mohanty Investments2010, McGraw Hill"
