COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
2342,CE G570,HIGHWAY CONSTRUCTION TECHNOLOGY,3,1,4,1,AKSHAY GUNDLA,F202,M W F,3,13/03 - 4.00 - 5.30PM,10/05 FN
,,Practical,,,,,Akshay Gundla,LAB,W,8 9,,
2347,CE G575,FREIGHT TRANSPORTATION,3,1,4,1,ISHANT SHARMA,F202,M W F,4,14/03 - 2.00 - 3.30PM,14/05 FN
,,Practical,,,,,Ishant Sharma,LAB,M,8 9,,
688,CE G613,ADV CONCRETE STRUCTURES,3,1,4,1,BAHURUDEEN A,F201,M W F,5,13/03 - 4.00 - 5.30PM,10/05 FN
,,Practical,,,,,Bahurudeen A,LAB,T,8 9,,
108,CE G615,EARTHQUAKE ENGINEERING,3,1,4,1,MOHAN S C,F202,T Th,3,13/03 - 4.00 - 5.30PM,10/05 FN
,,,,,,,Mohan S C,F202,F,10,,
,,Practical,,,,,Mohan S C,LAB,W,8 9,,
,,,,,,,Boyina Kalyan,,,,,
346,CE G616,BRIDGE ENGINEERING,3,1,4,1,PN RAO,F202,T Th,2,14/03 - 2.00 - 3.30PM,14/05 FN
,,,,,,,PN Rao,F201,Th,10,,
,,Practical,,,,,PN Rao,LAB,F,8 9,,
1180,CHE F241,HEAT TRANSFER,3,-,3,1,AFKHAM MIR,F205,M W F,2,15/03 - 9.30 - 11.00AM,16/05 FN
,,Tutorial,,,,,Afkham Mir,F205,Th,1,,
1181,CHE F242,NUM METHOD FOR CHEM ENGG,3,-,3,1,LAKSHMINARAYANANSAM,F205,F,6 7,11/03 - 2.00 - 3.30PM,07/05 FN
,,Tutorial,,,,,Lakshminarayanan Samaved,F205,W,9 10,,
1182,CHE F243,MATERIAL SCIENCE & ENGINEERING,3,-,3,1,KARTHIK CHETAN,F205,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,Karthik Chetan,F205,Th,10,,
,,Tutorial,,,,,Karthik Chetan,F205,T,1,,
1183,CHE F244,SEPARATION PROCESSES I,3,-,3,1,SATYAPAUL SINGH AMART,F205,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,Tutorial,,,,,Satyapaul Singh Amarthaluri,F205,T,9,,
1653,CHE F266,STUDY PROJECT,-,-,3,1,ARNAB DUTTA,,,,,
