COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1889,EEE F245,CONTROL SYSTEMSLABORATORY,-,1,1,1,ALIVELU MANGA PARIMI,K125,T,2 3,,
,,,,,,,Manoj Samal,,,,,
,,,,,,2,Gorityala Aishvaria,K125,Th,2 3,,
,,,,,,,Manoj Samal,,,,,
,,,,,,3,Krishna Tejus E M,K125,F,6 7,,
,,,,,,,Gorityala Aishvaria,,,,,
,,,,,,4,Ponnalagu R N,K125,T,6 7,,
,,,,,,,Krishna Tejus E M,,,,,
,,,,,,,,,,,,
1900,EEE F246,ELECTRICAL &ELECTRONICCIRCUITS LABORATORY,-,2,2,1,VENKATESWARAN R,H106,T Th,6 7,,
,,,,,,,Naresh Bahadursha,,,,,
,,,,,,,Syed Ershad Ahmed,,,,,
,,,,,,,Sreejith V,,,,,
,,,,,,2,Rajesh Kumar Tripathy,H106,M F,6 7,,
,,,,,,,Aditya Tiwari,,,,,
,,,,,,,Niranjan Raj,,,,,
,,,,,,,Pratyush Chakraborty,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
1657,EEE F266,STUDY PROJECT,-,-,3,1,S K CHATTERJEE,,,,,
1244,EEE F312,POWER SYSTEMS,3,-,3,1,STP SRINIVAS,F107,M W F,4,13/03 - 2.00 - 3.30PM,11/05 AN
,,,,,,,Alivelu Manga Parimi,,,,,
,,Tutorial,,,,1,Alivelu Manga Parimi,J214,F,1,,
,,,,,,2,Alivelu Manga Parimi,J214,T,7,,
,,,,,,3,STP Srinivas,J217,F,1,,
1245,EEE F341,ANALOG ELECTRONICS,3,1,4,1,BVVSN PRABHAKAR RAO,F105,M W F,5,16/03 - 4.00 - 5.30PM,20/05 AN
,,,,,,2,Ponnalagu R N,F104,M W F,5,,
,,Practical,,,,1,BVVSN Prabhakar Rao,J106,T,8 9,,
,,,,,,,Bishal kumar keshari,,,,,
,,,,,,,Vanmathi S,,,,,
,,,,,,2,BVVSN Prabhakar Rao,J106,Th,8 9,,
,,,,,,,Vanmathi S,,,,,
,,,,,,3,Prasant Kumar P,J106,W,7 8,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,4,Prasant Kumar P,J106,S,4 5,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,5,Amit Kumar Panda,J106,F,7 8,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,6,Amit Kumar Panda,J106,M,7 8,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,7,Ponnalagu R N,J106,S,2 3,,
,,,,,,,Bishal kumar keshari,,,,,
,,Tutorial,,,,1,BVVSN Prabhakar Rao,I114,M,1,,
,,,,,,2,Ponnalagu R N,I111,M,1,,
,,,,,,3,Ponnalagu R N,I111,W,1,,
,,,,,,4,Prasant Kumar P,I112,M,1,,
,,,,,,5,Prasant Kumar P,I112,W,1,,
,,,,,,6,Amit Kumar Panda,I113,M,1,,
,,,,,,7,Amit Kumar Panda,I113,W,1,,
1246,EEE F342,POWER ELECTRONICS,3,1,4,1,SUDHA RADHIKA,F105,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Sudha Radhika,F105,F,10,,
,,Practical,,,,1,Sudha Radhika,LAB,M,7 8,,
,,,,,,,Kommanaboina Mahender,,,,,
,,,,,,2,Sudha Radhika,LAB,F,7 8,,
,,,,,,,Kommanaboina Mahender,,,,,
,,,,,,3,STP Srinivas,LAB,T,8 9,,
,,,,,,,N Praneeth,,,,,
,,,,,,4,STP Srinivas,LAB,Th,8 9,,
,,,,,,,N Praneeth,,,,,
,,Tutorial,,,,1,Sudha Radhika,I122,M,1,,
,,,,,,2,Sudha Radhika,I122,W,1,,
,,,,,,3,STP Srinivas,I210,M,1,,
,,,,,,4,STP Srinivas,I210,W,1,,
1902,EEE F348,FPGA BASED SYSTEMDESIGN LAB,-,2,2,1,AMIT KUMAR PANDA,I124,T Th,7 8,,
,,,,,,,Himanshi Awasthi,,,,,
1731,EEE F366,LABORATORY PROJECT,-,-,3,1,SAYAN KANUNGO,,,,,
1742,EEE F367,LABORATORY PROJECT,-,-,3,1,SAYAN KANUNGO,,,,,
1691,EEE F376,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
