COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
1682,PHA F366,LABORATORY PROJECT,No text book required
1750,PHA F367,LABORATORY PROJECT,No text book required
1699,PHA F376,DESIGN PROJECT,No text book required
1766,PHA F377,DESIGN PROJECT,No text book required
1303,PHA F413,PHARMA MANG & QUAL CONTR,"(i) Khanna, O.P.Industrial Engineering & Mgt Dhanpat Rai , Rev.ed , 1999"
,,,"(ii) Sidney H. Willing; Marcel DekkerGood Manuf Prac for Phar:A Plan for Total Q.C. Marcel Dekker , 6th ed, 2007"
1304,PHA F414,BIOPHARMACEUTICS,"Brahmankar, D M and Jaiswal, S N Biopharmaceutics andPharmacokinetics - A treatiseVallabh , 2nd ed., 2009"
1307,PHA F417,PHARMACOECONOMICS,TO BE ANNOUNCED
351,PHA G532,Q A & REGULATORY AFFAIRS,"(i) Sidney H. Willig, Murray M. Tuckerman and William S. Hitchings IVGood Manufacturing Practices for Pharmaceuticals: A Plan for TotalQuality ControlMarcel Dekker, New York, 4th  Edn., Vol. 78, 1997."
,,,"(ii) Alfred H. Wachter and Robert A. Nash Pharmaceutical ProcessValidationMarcel Dekker, New York, 2nd Edn., Vol. 129, 2014"
,,,"(iii) Shein-Chung Chow, Jen-Pei Liu Design and analysis of clinical trialsWiley-IEEE, 2003"
2292,PHA G546,PHARMACEUTICAL BIO STATISTICS,"Sanford Bolton and Charles BonPharmaceutical Statistics: Practical and Clinical Applications FifthEdition.(Informa Healthcare, 2007)."
67,PHA G611,ADVANCED PHARMACOLOGY,"Goodman & Gilman’sThe Pharmacological basis of Therapeutics McGraw Hill, 10th ed., 2001"
747,PHA G612,PHARM KINET & CLINIC PHA,"Gibaldi M & D Perrier PharmacokineticsMarcel Dekker , 2nd ed. , 1982"
145,PHA G617,ADV DRUG DELIVERY SYSTEM,"Tyle, PSpecialized Drug Delivery Systems- Manufacturing and ProductionTechnologyMarcel Dekker, New York, 1990"
