COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1770,BITS F418,INTRO TO BIOMEDICAL ENGG,3,1,4,1,KAVI DEVRAJ,G104,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
1593,BITS F421T,THESIS,-,-,16,1,SRIDHAR RAJU,,,,,
1616,BITS F422T,THESIS,-,-,16,1,SRIDHAR RAJU,,,,,
1617,BITS F423T,THESIS,-,-,9,1,SRIDHAR RAJU,,,,,
1619,BITS F424T,THESIS,-,-,9,1,SRIDHAR RAJU,,,,,
1794,BITS F428,ESSENTIALS OF STRATE MGT,3,-,3,1,SWATI ALOK,J218,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Swati Alok,J218,F,10,,
1811,BITS F441,ROBOTICS,3,-,3,1,ARSHAD JAVED,G201,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
1812,BITS F442,REMOTE SENS & IMAGE PROC,3,-,3,1,K RAJITHA,F201,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
1338,BITS F463,CRYPTOGRAPHY,3,-,3,1,G GEETHAKUMARI,F103,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
,,,,,,,Chillara Anil Kumar,,,,,
,,,,,,,Praneeta Krishnaprasad Ma,,,,,
,,,,,,,Sandeep Ravikanti,,,,,
1339,BITS F464,MACHINE LEARNING,3,-,3,1,CHITTARANJAN HOTA,F106,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Chaitra C R,,,,,
,,,,,,,Harsha Varun Marisetty,,,,,
,,,,,,,S Shashank,,,,,
,,,,,,,Chittaranjan Hota,F106,Th,10,,
