COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
2559,MATH F315,INTRO TO STATISTICALINFERENCE,3,-,3,1,FARIDA PARVEZ BARBHUI,I111,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
1472,MATH F341,INTRO TO FUNCTIONALANAL,3,-,3,1,JHUMA SEN GUPTA,G108,M W F,4,13/03 - 2.00 - 3.30PM,11/05 AN
,,Tutorial,,,,,Jhuma Sen Gupta,G108,Th,7,,
,,,,,,,Sangeeta Dhawan,,,,,
,,,,,,,Sunil Rampuria,,,,,
1473,MATH F342,DIFFERENTIAL GEOMETRY,3,-,3,1,SUMIT KUMAR V,G108,M W F,8,16/03 - 2.00 - 3.30PM,18/05 FN
,,Tutorial,,,,,Sumit Kumar V,G108,T,8,,
,,,,,,,Hirendra Kumar Garai,,,,,
,,,,,,,Jahir Abbas Sardar,,,,,
1474,MATH F343,PARTIAL DIFF EQUATIONS,3,-,3,1,G MURALI MOHAN REDDY,G108,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,G Murali Mohan Reddy,G108,W,10,,
,,Tutorial,,,,,G Murali Mohan Reddy,G108,Th,8,,
,,,,,,,Amit Kumar Pal,,,,,
,,,,,,,Shivangi Joshi,,,,,
1479,MATH F353,STATISTICAL INFER & APP,3,-,3,1,SAYAN GHOSH,I111,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Sayan Ghosh,I111,M,10,,
1679,MATH F366,LABORATORY PROJECT,-,-,3,1,SUSHIL BHUNIA,,,,,
1747,MATH F367,LABORATORY PROJECT,-,-,3,1,SUSHIL BHUNIA,,,,,
1696,MATH F376,DESIGN PROJECT,-,-,3,1,DEBOPAM CHAKRABORTHY,,,,,
1763,MATH F377,DESIGN PROJECT,-,-,3,1,DEBOPAM CHAKRABORTHY,,,,,
1480,MATH F421,COMBINATORIALMATHEMATICS,3,-,3,1,DEBOPAM CHAKRABORTHY,I111,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Debopam Chakraborthy,I111,Th,10,,
