COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
2517,BITS F232,FOUNDATIONS OF DATA STRUCTURES AND ALGORITHMS,3,1,4,1,SAMEERA MUHAMED SAL,F106,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Sameera Muhamed Salam,F106,M,10,,
,,Practical,,,,1,Tathagata Ray,D313,F,6 7,,
,,,,,,,Harsha Varun Marisetty,,,,,
,,,,,,2,Tathagata Ray,D311,W,7 8,,
,,,,,,,Harsha Varun Marisetty,,,,,
2606,BITS F235,DIGITAL FUNDAMENTALS,3,1,4,1,JOYJIT MUKHERJEE,F101,M,4 5,09/03 - 3.30 - 5.00PM,04/05 FN
,,Practical,,,,,Joyjit Mukherjee,D313,W,4 5,,
2277,BITS F314,GAME THEORY AND ITS APPLICATIONS,3,-,3,1,DURGESH C PATHAK,J214,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Durgesh C Pathak,J214,Th,10,,
786,BITS F315,INTRODUCTION TO COGNITIVE NEUROSCIENCE,3,-,3,1,SRINIVAS PRASAD K,G106,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Srinivas Prasad K,G106,M,10,,
2336,BITS F327,ARTIFICIAL INTELLIGENCE FOR ROBOTICS,2,1,3,1,ABHISHEK SARKAR,F101,M W,7,12/03 - 9.30 - 11.00AM,08/05 FN
,,Practical,,,,,K Ramesh,E210,T,8 9,,
1512,BITS F385,INTRO TO GENDER STUDIES,3,-,3,1,TONY SEBASTIAN,J214,M W F,8,16/03 - 11.00 - 12.30PM,18/05 AN
1592,BITS F412,PRACTICE SCHOOL II,-,-,20,1,S S DESHMUKH,,,,,
1615,BITS F413,PRACTICE SCHOOL II,-,-,20,1,S S DESHMUKH,,,,,
1248,BITS F415,INTRODUCTION TO MEMS,3,1,4,1,SANKET GOEL,J220,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Sanket Goel,J220,M,10,,
,,Practical,,,,,Abhishek Kumar,J204,W,9 10,,
,,,,,,,Pavar Sai Kumar,,,,,
,,,,,,,Sanket Goel,,,,,
1809,BITS F417,MICRO-FLUIDICS & ITS APP,-,-,4,1,MEENAKSHI V,G204,Th F,11 12,12/03 - 9.30 - 11.00AM,08/05 FN
,,,,,,,Aravinda N Raghavan,,,,,
