COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
1668,CHE F366,LABORATORY PROJECT,No text book required
1738,CHE F367,LABORATORY PROJECT,No text book required
1687,CHE F376,DESIGN PROJECT,No text book required
1754,CHE F377,DESIGN PROJECT,No text book required
1206,CHE F411,ENVIR POLLUTION CONTROL,"(i) Davis, M.L. and D.A. Cornwell Introduction to Environmental Engg.TMH, 4th ed., 2010"
,,,"(ii) Rao, C SEnvironmental Pollution Control Engineering New Age International 2ndEd., 2006"
1202,CHE F433,CORROSION ENGINEERING,"Fontana, Marselio G Corrosion EngineeringTMH, 3rd ed., 1986"
2146,CHE G552,ADV TRANSPORT PHENOMENA,"(i) Bird, Stewart and Lightfoot Transport PhenomenaJohn Wiley & Sons, 2002, 2nd edition"
,,,"(ii)  Joel PlawskyTransport Phenomena Fundamentals CRC Press, 2010, 2nd edition"
,,,(iii) Fox and McDonald Fluid Mechanics
2150,CHE G556,ELECTROCHEMICAL ENGINERING,"(i)  A.J. Bard and L. R. FaulkerElectrochemical methods, Fundamentals and applications John Wileyand Sons"
,,,(ii)  J.O.M Bockris and A. K. N. Reddy Modern ElectrochemistryPlenum Press
729,CHE G641,REACTION ENGINEERING,"(i) Levenspiel, Octave  Chemical Reaction EngineeringWiley India Pvt. Ltd., New Delhi, 3rd Edition, 2000 ( or higher edition ifavailable!)"
,,,"(ii) Fogler, H. ScottElements of Chemical Reaction EngineeringPearson Edu, 4th ed,2006 ( or higher edition if available! )"
1006,CHEM F110,CHEMISTRY LABORATORY,Lab Manual for Chemistry Laboratory
1007,CHEM F111,GENERAL CHEMISTRY,(i) Solomons's Organic ChemistryGlobal Edition
