COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1387,ECE F244,MICROELECTRONICCIRCUITS,3,-,3,1,SYED ERSHAD AHMED,F105,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,,,,,2,Niranjan Raj,F104,M W F,3,,
,,Tutorial,,,,1,Syed Ershad Ahmed,I210,T,9,,
,,,,,,2,Syed Ershad Ahmed,I210,Th,9,,
,,,,,,3,Parikshit Parshuram Sahatiy,I211,T,9,,
,,,,,,4,Parikshit Parshuram Sahatiy,I211,Th,9,,
,,,,,,5,Surya Shankar Dan,I212,T,9,,
,,,,,,6,Surya Shankar Dan,I212,Th,9,,
,,,,,,7,Niranjan Raj,I213,T,9,,
,,,,,,8,Niranjan Raj,I213,Th,9,,
1701,ECE F266,STUDY PROJECT,-,-,3,1,S K CHATTERJEE,,,,,
1894,ECE F312,EM FIELDS LAB MICROENGG LAB,-,1,1,1,HARISH VIJAY DIXIT,K125,T,8 9,,
,,,,,,,Neha Parmar,,,,,
1391,ECE F341,ANALOG ELECTRONICS,3,1,4,1,BVVSN PRABHAKAR RAO,F105,M W F,5,16/03 - 4.00 - 5.30PM,20/05 AN
,,,,,,2,Ponnalagu R N,F104,M W F,5,,
,,Practical,,,,1,BVVSN Prabhakar Rao,J106,T,8 9,,
,,,,,,,Bishal kumar keshari,,,,,
,,,,,,,Vanmathi S,,,,,
,,,,,,2,BVVSN Prabhakar Rao,J106,Th,8 9,,
,,,,,,,Vanmathi S,,,,,
,,,,,,3,Prasant Kumar P,J106,W,7 8,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,4,Prasant Kumar P,J106,S,4 5,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,5,Amit Kumar Panda,J106,F,7 8,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,6,Amit Kumar Panda,J106,M,7 8,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,7,Ponnalagu R N,J106,S,2 3,,
,,,,,,,Bishal kumar keshari,,,,,
,,Tutorial,,,,1,BVVSN Prabhakar Rao,I114,M,1,,
,,,,,,2,Ponnalagu R N,I111,M,1,,
,,,,,,3,Ponnalagu R N,I111,W,1,,
,,,,,,4,Prasant Kumar P,I112,M,1,,
,,,,,,5,Prasant Kumar P,I112,W,1,,
,,,,,,6,Amit Kumar Panda,I113,M,1,,
,,,,,,7,Amit Kumar Panda,I113,W,1,,
1595,ECE F343,COMMUNICATIONNETWORKS,3,-,3,1,S K SAHOO,F104,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,S K Sahoo,F107,W,10,,
,,Tutorial,,,,1,S K Sahoo,I221,F,1,,
,,,,,,2,S K Sahoo,I221,W,1,,
,,,,,,3,S K Sahoo,I221,Th,7,,
1390,ECE F344,INFO THEORY & CODING,3,-,3,1,RUNA KUMARI,F104,M W F,4,13/03 - 2.00 - 3.30PM,11/05  AN
,,Tutorial,,,,1,Runa Kumari,I222,F,1,,
,,,,,,2,Runa Kumari,I222,T,7,,
,,,,,,3,Runa Kumari,I222,Th,7,,
1702,ECE F366,LABORATORY PROJECT,-,-,3,1,SAYAN KANUNGO,,,,,
1705,ECE F367,LABORATORY PROJECT,-,-,3,1,SAYAN KANUNGO,,,,,
1703,ECE F376,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
1706,ECE F377,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
