COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1697,ME F376,DESIGN PROJECT,-,-,3,1,G R SABAREESH,,,,,
1764,ME F377,DESIGN PROJECT,-,-,3,1,G R SABAREESH,,,,,
1810,ME F423,MICRO-FLUIDICS & ITS APP,-,-,4,1,SATISH K DUBEY,F203,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Sayan Das,,,,,
,,,,,,,Satish K Dubey,F203,M,6,,
,,,,,,,Sayan Das,,,,,
,,Practical,,,,,Sayan Das,J204,F,7 8,,
,,,,,,,P Ramya Priya,,,,,
2311,ME F426,INDUSTRY 4.0 INMANUFACTURING,3,-,3,1,KUNDAN KUMAR SINGH,G207,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Kundan Kumar Singh,G207,Th,10,,
1867,ME F483,WIND ENERGY,3,-,3,1,M SRINIVAS,F203,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
1868,ME F484,AUTOMOTIVETECHNOLOGY,3,-,3,1,SUPRADEEPAN K,G108,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Supradeepan K,G108,M,10,,
410,ME G515,COMPUT FLUID DYNAMICS,3,2,5,1,JEEVAN JAIDI,G104,T Th,2,13/03 - 4.00 - 5.30PM,10/05 FN
,,,,,,,Jeevan Jaidi,G104,M,10,,
,,Practical,,,,,Jeevan Jaidi,D208 C,T,6 7,,
,,,,,,,Bagadi Ramana Murthy,,,,,
2086,ME G538,TOYOTA PRODUCTIONSYSTEM,3,2,5,1,AMIT KUMAR GUPTA,G103,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Amit Kumar Gupta,G103,M,10,,
,,Practical,,,,,Vardhanapu Muralidhar,LAB,T,6 7,,
2087,ME G539,COMP INTEGRATEDMANUFACT,3,2,5,1,KURRA SURESH,F204,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,Kurra Suresh,F204,T,10,,
,,Practical,,,,,Kurra Suresh,E112,Th,8 9,,
,,,,,,,Vishista kaushik,,,,,
266,ME G611,COMP AIDED ANAL &DESIGN,2,3,5,1,KURRA SURESH,F203,M W F,4,11/03 - 11.00 - 12.30PM,06/05 AN
,,Practical,,,,,Kurra Suresh,E112,M W,7 8 9,,
,,,,,,,Gaurav Sharma,,,,,
