COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
2629,CS F437,GENERATIVE ARTIFICIALINTELLIGENCE,3,-,3,1,NL BHANUMURTHY,F208,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
1857,CS F469,INFORMATION RETRIEVAL,3,-,3,1,PRAJNA DEVI UPADHYAY,F108,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Shivram A,,,,,
,,,,,,,Prajna Devi Upadhyay,F108,W,10,,
507,CS G513,NETWORK SECURITY,3,1,4,1,RAJIB RANJAN MAITI,I112,M W F,5,12/03 - 9.30 - 11.00AM,08/05 FN
,,Practical,,,,,Rajib Ranjan Maiti,D312,Th,8 9,,
2449,CS G516,ADVANCED DATABASESYSTEMS,3,1,4,1,SUBHRAKANTA PANDA,I112,T Th,3,13/03 - 4.00 - 5.30PM,10/05 FN
,,,,,,,Subhrakanta Panda,I112,F,1,,
,,Practical,,,,,Subhrakanta Panda,D313,F,8 9,,
2052,CS G523,SOFTWARE FOREMBEDDED SYS,3,2,5,1,SOUMYA J,I222,T Th,5,12/03 - 9.30 - 11.00AM,08/05 FN
,,,,,,,Soumya J,I222,F,10,,
,,Practical,,,,,Soumya J,J105,M W,7 8,,
,,,,,,,Mekala Bindu Bhargavi,,,,,
2006,CS G524,ADV COMPUTERARCHITECTURE,3,-,5,1,ARITRA MUKHERJEE,I113,M W F,3,14/03 - 9.30 - 11.00AM,13/05 FN
,,Practical,,,,,Aritra Mukherjee,D311,M,8 9,,
436,DE G514,FRACTURE MECHANICS,3,2,5,1,NITIN RAMESH K,F203,M W F,5,12/03 - 9.30 - 11.00AM,08/05 FN
,,Practical,,,,,Aarjoo Jaimin,E004,T,8 9,,
1384,ECE F241,MICROPROC &INTERFACING,3,1,4,1,SUBHRADEEP PAL,F102,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,,,,,2,Anakhi Hazarika,G208,M W F,2,,
,,,,,,3,S Gurunarayanan,F105,M W F,2,,
,,Practical,,,,1,Runa Kumari,I012,T,2 3,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,2,Sourav Nandi,I013,T,2 3,,
,,,,,,,Sanjana Mathew,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,3,Subhradeep Pal,I013,F,6 7,,
,,,,,,,Thalla Narasimha Swetha,,,,,
,,,,,,,Keerthi C J,,,,,
,,,,,,4,Anakhi Hazarika,I012,W,6 7,,
,,,,,,,Thalla Narasimha Swetha,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,5,Ravikiran Yeleswarapu,I012,F,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,6,Ravikiran Yeleswarapu,I012,M,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Parvathy nair,,,,,
,,,,,,7,Ravikiran Yeleswarapu,I013,Th,6 7,,
,,,,,,,Krishnapriya G B,,,,,
,,,,,,,Parvathy nair,,,,,
,,,,,,8,TO BE ANNOUNCED,I013,Th,2 3,,
,,,,,,,Ch Suresh Kumar,,,,,
,,,,,,,Krishnapriya G B,,,,,
,,,,,,9,Ramya K,I012,Th,2 3,,
,,,,,,,BalasubramanianMalayappa,,,,,
,,,,,,,Gowtham Polumati,,,,,
,,,,,,10,Sree Rama Amrutha Lahari,I013,W,6 7,,
,,,,,,,Gowtham Polumati,,,,,
,,,,,,,Kurakula Anudeep,,,,,
,,,,,,11,Keerthi C J,I012,Th,6 7,,
,,,,,,,imran khan,,,,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,12,Ramya K,I013,M,5 6,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,,Ritesh Kumar Singh,,,,,
,,,,,,13,Sree Rama Amrutha Lahari,I012,T,6 7,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,,Ritesh Kumar Singh,,,,,
,,,,,,14,Kurakula Anudeep,I013,T,6 7,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,,Ch Suresh Kumar,,,,,
,,Tutorial,,,,1,Soumya J,I113,T,9,,
,,,,,,2,Soumya J,I113,Th,9,,
,,,,,,3,Sourav Nandi,I114,T,9,,
,,,,,,4,Sourav Nandi,I221,M,1,,
,,,,,,5,Subhradeep Pal,I111,T,9,,
,,,,,,6,Subhradeep Pal,I111,Th,9,,
,,,,,,7,Anakhi Hazarika,I112,T,9,,
,,,,,,8,Anakhi Hazarika,I112,Th,9,,
,,,,,,9,Anakhi Hazarika,I111,M,5,,
,,,,,,10,Ravikiran Yeleswarapu,I122,T,9,,
,,,,,,11,Ravikiran Yeleswarapu,I122,Th,9,,
,,,,,,12,Ravikiran Yeleswarapu,I122,W,5,,
1385,ECE F242,CONTROL SYSTEMS,3,-,3,1,HARISH VIJAY DIXIT,F105,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,Harish Vijay Dixit,F105,Th,10,,
,,,,,,2,Ankur Bhattacharjee,F104,T Th,4,,
,,,,,,,Ankur Bhattacharjee,F104,Th,10,,
,,Tutorial,,,,1,Harish Vijay Dixit,J107,M,1,,
,,,,,,2,Harish Vijay Dixit,I111,T,1,,
,,,,,,3,Ankur Bhattacharjee,J119,M,1,,
,,,,,,4,Ankur Bhattacharjee,I112,T,1,,
,,,,,,5,Shaik sultan,J120,M,1,,
,,,,,,6,Shaik sultan,I113,T,1,,
,,,,,,7,Annaram Sowjanya,J121,M,1,,
,,,,,,8,Annaram Sowjanya,I114,T,1,,
1386,ECE F243,SIGNALS & SYSTEMS,3,-,3,1,PRATYUSH CHAKRABORTY,F105,M W F,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,,,,,2,Venkateswaran R,F104,M W F,9,,
,,Tutorial,,,,1,Pratyush Chakraborty,I122,F,1,,
,,,,,,2,Pratyush Chakraborty,I122,Th,1,,
,,,,,,3,Venkateswaran R,I210,T,1,,
,,,,,,4,Venkateswaran R,I210,Th,1,,
,,,,,,5,S K Chatterjee,I211,F,1,,
,,,,,,6,S K Chatterjee,I211,Th,1,,
,,,,,,7,Rajesh Kumar Tripathy,I212,T,1,,
,,,,,,8,Rajesh Kumar Tripathy,I212,Th,1,,
