COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1430,BIO F242,INTRODUCTION TO BIOINFORMATICS,3,-,3,1,SHUVADEEP MAITY,G103,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,Debashree B,,,,,
,,,,,,,Shuvadeep Maity,G103,Th,10,,
,,,,,,,Debashree B,,,,,
,,Tutorial,,,,,Shuvadeep Maity,G103,T,1,,
,,,,,,,Debashree B,,,,,
1425,BIO F243,GENETICS,3,-,3,1,AMARTYA SANYAL,G103,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,,,,,,Naga Mohan K,,,,,
,,Tutorial,,,,,Amartya Sanyal,G103,T,9,,
,,,,,,,Naga Mohan K,,,,,
1426,BIO F244,INSTRU METHODS OF ANAL,1,3,4,1,DEBASHREE B,G104,F,8,16/03 - 2.00 - 3.30PM,18/05 FN
,,Practical,,,,,Sridev Mohapatra,B108,M W,6 7 8,,
,,,,,,,Ali Akbar Shoukat Safdari,,,,,
,,,,,,,Devika.P,,,,,
,,,,,,,Kunja chaitanya,,,,,
,,,,,,,Manali chindarkar,,,,,
,,,,,,,Nikhil P T,,,,,
,,,,,,,Omalur Eshwari,,,,,
,,,,,,,Pragya Komal,,,,,
,,,,,,,Puja Das,,,,,
,,,,,,,Satarupa Das,,,,,
,,,,,,,Trinath Jamma,,,,,
,,,,,,,Vaibhav jain,,,,,
1651,BIO F266,STUDY PROJECT,-,-,3,1,JAYATI RAY DUTTA,,,,,
1431,BIO F341,DEVELOPMENTAL BIOLOGY,3,-,3,1,VIVEK SHARMA,G103,M W F,4,13/03 - 2.00 - 3.30PM,11/05 AN
,,,,,,,K  Pranav Narayan,,,,,
,,Tutorial,,,,,K  Pranav Narayan,G103,T,8,,
,,,,,,,Vivek Sharma,,,,,
1432,BIO F342,IMMUNOLOGY,3,-,3,1,TRINATH JAMMA,G103,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,Vidya Rajesh,,,,,
,,,,,,,Trinath Jamma,G103,W,10,,
,,,,,,,Vidya Rajesh,,,,,
,,Tutorial,,,,,Vidya Rajesh,G103,Th,8,,
,,,,,,,Trinath Jamma,,,,,
1650,BIO F366,LABORATORY PROJECT,-,-,3,1,JAYATI RAY DUTTA,,,,,
1736,BIO F367,LABORATORY PROJECT,-,-,3,1,JAYATI RAY DUTTA,,,,,
1685,BIO F376,DESIGN PROJECT,-,-,3,1,PRAGYA KOMAL,,,,,
1752,BIO F377,DESIGN PROJECT,-,-,3,1,PRAGYA KOMAL,,,,,
