COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
2146,CHE G552,ADV TRANSPORTPHENOMENA,-,-,5,1,NANDINI BHANDARU,F204,M W F,4,11/03 - 11.00 - 12.30PM,06/05 AN
2150,CHE G556,ELECTROCHEMICALENGINERING,3,1,4,1,RAMENDRA KISHOR PAL,F204,T Th,2,14/03 - 2.00 - 3.30PM,14/05 FN
,,,,,,,Ramendra Kishor Pal,F204,M,10,,
,,Practical,,,,,Ramendra Kishor Pal,LAB,Th,7 8,,
,,,,,,,Dubbaka Vidya,,,,,
729,CHE G641,REACTION ENGINEERING,3,2,5,1,I SREEDHAR,F204,T Th,3,12/03 - 9.30 - 11.00AM,08/05 FN
,,,,,,,I Sreedhar,F204,F,10,,
,,Practical,,,,,I Sreedhar,LAB,T,7 8 9,,
,,,,,,,Sadamanti Sireesha,,,,,
1006,CHEM F110,CHEMISTRY LABORATORY,-,2,1,1,NILANJAN DEY,B124,M,3 4,09/03 - 3.30 - 5.00PM,04/05 FN
,,,,,,,Rikitha Sharyl Fernandes,,,,,
,,,,,,,Sourav mondal,,,,,
,,,,,,2,Sourav Bag,B124,Th,3 4,,
,,,,,,,Adarash Kumar Shukla,,,,,
,,,,,,,Akshita Jain,,,,,
,,,,,,3,Chanchal Chakraborty,B124,F,9 10,,
,,,,,,,Anup kumar pradhan,,,,,
,,,,,,,Sayan Halder,,,,,
,,,,,,4,K Sumithra,B124,Th,5 6,,
,,,,,,,Shivani Tripathi,,,,,
,,,,,,,Soumen Khan,,,,,
,,,,,,5,Sounak Roy,B124,F,6 7,,
,,,,,,,Aathira B,,,,,
,,,,,,,Saraswati Roy,,,,,
,,,,,,6,Tanmay Chatterjee,B124,M,6 7,,
,,,,,,,Appanapalli nagavenkatasat,,,,,
,,,,,,,Paramita Pattanayak,,,,,
,,,,,,7,R Krishnan,B124,T,5 6,,
,,,,,,,Ankita Singh,,,,,
,,,,,,,Savita,,,,,
,,,,,,8,KVG Chandrasekhar,B124,T,3 4,,
,,,,,,,Kosana Sai Chaitanya,,,,,
,,,,,,,Talamadla mahesh kumar go,,,,,
,,,,,,9,Ramakrishnan G,B124,F,3 4,,
,,,,,,,Mariya Midhu Francis,,,,,
,,,,,,,Ronak Lazarus,,,,,
,,,,,,10,J Subbalakshmi,B124,W,6 7,,
,,,,,,,Anuradha Sureshrao Mohitka,,,,,
,,,,,,,T Leelasree,,,,,
,,,,,,11,Durba Roy,B124,W,3 4,,
,,,,,,,Dinesh Kumar J,,,,,
,,,,,,,Jayapriya V,,,,,
1007,CHEM F111,GENERAL CHEMISTRY,3,-,3,1,Amit Nag,F102,T Th,2,14/03 - 11.00 - 12.30PM,13/05 AN
,,,,,,,Amit Nag,F102,T,10,,
,,,,,,,Manab Chakravarty,,,,,
,,,,,,2,Balaji Gopalan,F103,T Th,2,,
,,,,,,,Himanshu Aggarwal,,,,,
,,,,,,,Balaji Gopalan,F103,T,10,,
,,Tutorial,,,,1,Amit Nag,G101,M W,1,,
,,,,,,2,Manab Chakravarty,G102,M W,1,,
,,,,,,3,Balaji Gopalan,G103,M W,1,,
,,,,,,4,Himanshu Aggarwal,G104,M W,1,,
,,,,,,5,Sourav Bag,G105,M W,1,,
,,,,,,6,Chanchal Chakraborty,G106,M W,1,,
,,,,,,7,KVG Chandrasekhar,G107,M W,1,,
,,,,,,8,N Rajesh,G108,M W,1,,
,,,,,,9,Subit Kumar Saha,G201,M,1,,
,,,,,,,Subit Kumar Saha,G201,F,5,,
1569,CHEM F223,COLLOID & SURFACE CHEM,3,-,3,1,RAMAKRISHNAN G,G101,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Ramakrishnan G,G101,Th,10,,
1554,CHEM F241,INORGANIC CHEMISTRY II,3,-,3,1,HIMANSHU AGGARWAL,G101,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,,,,,,Sounak Roy,,,,,
,,Tutorial,,,,,Himanshu Aggarwal,G101,T,6,,
,,,,,,,Sounak Roy,,,,,
1555,CHEM F242,CHEMICAL EXPER I,-,3,3,1,ARIJIT MUKHERJEE,B124,T Th,7 8 9,,
,,,,,,,Akhil Chandran P,,,,,
,,,,,,,Anamika Bandyopadhyay,,,,,
,,,,,,,Bandana Sar,,,,,
,,,,,,,Mollah Rohan Ahsan,,,,,
,,,,,,,Nilanjan Dey,,,,,
1556,CHEM F243,ORGANIC CHEMISTRY II,3,-,3,1,ANUPAM BHATTACHARYA,G101,M F,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,,,,,,Manab Chakravarty,,,,,
,,,,,,,Anupam Bhattacharya,G101,W,6,,
,,Tutorial,,,,,Anupam Bhattacharya,G101,Th,1,,
,,,,,,,Manab Chakravarty,,,,,
1557,CHEM F244,PHYSICAL CHEMISTRY III,3,-,3,1,K SUMITHRA,G101,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,Tutorial,,,,,K Sumithra,G101,T,1,,
