COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
2128,BITS E593,READING COURSE I,-,-,5,1,ALIVELU MANGA PARIMI,,,,,
2490,BITS E594,READING COURSE II,-,-,5,1,ALIVELU MANGA PARIMI,,,,,
2101,BITS E661,RESEARCH METHODOLOGY I,-,-,5,1,K SRINIVASA RAJU,F201,T,4 5,,
,,,,,,,Vogeti Rishith Kumar,,,,,
857,BITS E793T,PRACTICE LECT SERIES I,-,-,1,1,ALIVELU MANGA PARIMI,,,,,
1003,BITS F110,ENGINEERING GRAPHICS,1,2,2,1,A Vasan,F102,F,1,16/03 - 9.30 - 11.00AM,20/05 FN
,,,,,,2,Abhishek Sarkar,F103,F,1,,
,,Practical,,,,1,ANASUA GUHARAY,D208 A,M,3 4,,
,,,,,,,K S deepak,,,,,
,,,,,,,Md Ikramullah Khan,,,,,
,,,,,,,Renuka Pradeep Rekhade,,,,,
,,,,,,2,Ishant Sharma,D208 A,F,6 7,,
,,,,,,,K S deepak,,,,,
,,,,,,,M Abhinav,,,,,
,,,,,,,Radha KiranmayeBandlamu,,,,,
,,,,,,3,Ammavajjula Sesha Sai Rag,D208 B,W,6 7,,
,,,,,,,Ashish Saurabh,,,,,
,,,,,,,Fiza Zahoor Malik,,,,,
,,,,,,,Jakkam Leela Kishan,,,,,
,,,,,,4,Raghu Piska,D208 A,Th,4 5,,
,,,,,,,Ashish Saurabh,,,,,
,,,,,,,Md Zabiulla,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,5,Dilawaiz ali,D208 A,T,4 5,,
,,,,,,,Arnab Guha,,,,,
,,,,,,,Gowlla Jyothsna,,,,,
,,,,,,,P Ramya Priya,,,,,
,,,,,,6,Sk Abdul Kaium,D208 A,W,3 4,,
,,,,,,,Anuradha Tiwari,,,,,
,,,,,,,Balija Upendra,,,,,
,,,,,,,Jakkam Leela Kishan,,,,,
,,,,,,7,Chirdeep N R,D208 A,F,3 4,,
,,,,,,,Dole mahesh,,,,,
,,,,,,,Kushagra Pandey,,,,,
,,,,,,,Mrinmoy saha,,,,,
,,,,,,8,Vijay Krupaker Maddu,D208 A,M,6 7,,
,,,,,,,Akashjyoti barman,,,,,
,,,,,,,Maryada sinha,,,,,
,,,,,,,Muddasani Rajkumar,,,,,
,,,,,,9,Deepjyoti Deb,D208 A,W,6 7,,
,,,,,,,K Ramesh,,,,,
,,,,,,,Renuka Pradeep Rekhade,,,,,
,,Tutorial,,,,1,K Rajitha,G104,W,9,,
,,,,,,2,Chandu Parimi,G105,W,9,,
,,,,,,3,Navaneetha E,G106,W,9,,
,,,,,,4,Ambili P,G107,W,9,,
,,,,,,5,Abhishek Sarkar,F203,W,9,,
,,,,,,6,Arnab Guha,G201,W,9,,
,,,,,,7,Arshad Javed,G207,W,9,,
,,,,,,8,M Abhinav,I212,W,9,,
,,,,,,9,Vemu Sahiti,I210,W,9,,
1004,BITS F111,THERMODYNAMICS,3,-,3,1,SRIKANTA DINDA,F105,T Th,2,14/03 - 11.00 - 12.30PM,13/05 AN
,,,,,,,C Jhansi,,,,,
,,,,,,,Srikanta Dinda,F105,T,10,,
,,,,,,,C Jhansi,,,,,
,,,,,,2,N Jalaiah,F104,T Th,2,,
,,,,,,,N Jalaiah,F104,T,10,,
,,Tutorial,,,,1,Jaideep Chatterjee,F201,M W,1,,
,,,,,,,Vadlakonda Ravi KiranVarm,,,,,
,,,,,,2,Ramendra Kishor Pal,F202,M W,1,,
,,,,,,,Nalabala Madhavaiah,,,,,
,,,,,,3,Iyman Abrar,F203,M W,1,,
,,,,,,4,Afkham Mir,F204,M W,1,,
,,,,,,,Y lavanya,,,,,
,,,,,,5,Nandini Bhandaru,G204,M W,1,,
,,,,,,6,Santanu Prasad Datta,G202,M W,1,,
,,,,,,7,Jayaprakash K S,G203,M W,1,,
,,,,,,8,R Parameshwaran,F104,M W,1,,
,,,,,,9,N Jalaiah,G205,M W,1,,
,,,,,,10,KRC Murthy,G206,M W,1,,
1005,BITS F112,TECHNICAL REPORT WRITING,2,-,2,1,PRANESH BHARGAVA,F103,T Th,8,13/03 - 4.00 - 5.30PM,15/05 AN
,,,,,,2,Aruna Lolla,F104,T Th,8,,
,,,,,,3,Jayesh A K,F106,T Th,8,,
1860,BITS F114,GENERAL MATHEMATICS II,3,-,3,1,SUSHIL BHUNIA,I212,M W F,2,11/03 - 11.00 - 12.30PM,06/05 AN
,,Tutorial,,,,,Sushil Bhunia,I212,Th,7,,
,,,,,,,Mintu Mandal,,,,,
1862,BITS F219,PROCESS ENGINEERING,2,1,3,1,SWATI BISWAS,G105,M W,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,Practical,,,,1,Swati Biswas,A022,F,6 7,,
,,,,,,,Are Varshini,,,,,
,,,,,,,Kaviarasi,,,,,
,,,,,,,Raj selva,,,,,
,,,,,,,Shishira,,,,,
,,,,,,2,Swati Biswas,A022,Th,8 9,,
,,,,,,,Are Varshini,,,,,
,,,,,,,Kaviarasi,,,,,
,,,,,,,Raj selva,,,,,
,,,,,,,Shishira,,,,,
,,Tutorial,,,,,Swati Biswas,G105,F,3,,
1632,BITS F225,ENVIRONMENTAL STUDIES,3,-,3,1,SUPRATIM GHOSH,F102,M W F,4,13/03 - 11.00 - 12.30PM,11/05  FN
,,,,,,,Anmala Jagadeesh,,,,,
,,,,,,,Sourav Bag,,,,,
