COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
,,GENERAL CHEMISTRY,"(ii)  J. D. Lee,Concise Inorganic Chemistry5th Edition, Blackwell Science, Oxford, 1999"
1569,CHEM F223,COLLOID & SURFACE CHEM,"(i) Drew MyersSurfaces, Interfaces, and Colloids: Principles and Applications Wiley,Second Edition, 1999"
,,,(ii) Pallab GhoshColloid and Interface Science 2009
,,,"(iii) I. N. Levine Physical Chemistry5th Edition, Tata McGraw-Hill, 2011"
1554,CHEM F241,INORGANIC CHEMISTRY II,"Huheey, J. E.; Keiter, E. A.; Keiter, R. L.; Medhi O. K InorganicChemistry4th Edition, Pearson"
1555,CHEM F242,CHEMICAL EXPER I,NO TEXT BOOK REQUIRED
1556,CHEM F243,ORGANIC CHEMISTRY II,"(i) E. l. Eliel, S. H. Wilen, L.N. Mander John Wiley & SonsStereochemistry of Organic Compounds1st Ed., 2004. (T1)"
,,,"(ii) Michael B Smith & Jerry March Advanced Organic ChemistryJohn Wiley & Sons, 6th ed., 2012"
1557,CHEM F244,PHYSICAL CHEMISTRY III,"Levine, Ira N Quantum ChemistryPHI, 6th Edition, 2009"
1654,CHEM F266,STUDY PROJECT,No text book required
1580,CHEM F329,ANALYTICAL CHEMISTRY,GARY. D. CHRISTIANAnalytical Chemistry 6th ed. Wiley 2003
1561,CHEM F341,CHEMICAL EXPER II,No text book required
1562,CHEM F342,ORGANIC CHEMISTRY IV,"(i) Raj K Bansal, Heterocyclic Chemistry5th Ed., New Age International publishers, 2010. (TB1)"
,,ORGANIC CHEMISTRY IV,"(ii) I L Finar Organic ChemistryVol-2, 5th Ed., Pearson Education, 2009."
1563,CHEM F343,INORGANIC CHEMISTRY III,"(i)  E. OchiaiBioinorganic Chemistry: A Survey Academic Press, 2008."
,,,"(ii) Donald R. Askeland, Pradeep P. Phule The Science andEngineering of MaterialsFourth Edition, Thomson, 2003"
1669,CHEM F366,LABORATORY PROJECT,No text book required
