COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
2052,CS G523,SOFTWARE FOR EMBEDDED SYS,"(i) Bruce Powel DouglassReal – Time UML: Advances in the UML for Real – Time Systems 3rdEdition, 2004"
,,,(ii) Dive into Pythonhttps://www.python.org/
,,,"(iii) Brian Gerkey, Morgan L. Quigley, and William D. SmartProgramming Robots with ROS: A Practical Introduction to the RobotOperating Systemhttps://www.ros.org/"
2006,CS G524,ADV COMPUTER ARCHITECTURE,"J.L Hennessy & D.A.Patterson Morgan Kaufmann ComputerArchitecture: A Quantitative Approach6th Edition, 2017"
436,DE G514,FRACTURE MECHANICS,"Prashant KumarElements of Fracture MechanicsTata McGraw-Hill Publishing Company Ltd., New Delhi, 2009."
1384,ECE F241,MICROPROC & INTERFACING,"Lyla B DasThe x86 Microprocessors: 8086 to Pentium, Multicores, Atom and the8051 MicrocontrollerArchitecture, Programming and Interfacing, Second Edition"
1385,ECE F242,CONTROL SYSTEMS,"Nagrath I.J. and M. Gopal Control Systems EngineeringNAIL , 5th ed. , 2007"
1386,ECE F243,SIGNALS & SYSTEMS,"Lathi, B PPrinciples of Signal Processing and Linear OUP, 2nd ed., 2009"
1387,ECE F244,MICROELECTRONIC CIRCUITS,"A. S. Sedra & K. C. Smith Microelectronic CiruitsOxford University Press, 7th ed."
1701,ECE F266,STUDY PROJECT,No text book required
1894,ECE F312,EM FIELDS LAB MICRO ENGG LAB,No text book required
1391,ECE F341,ANALOG ELECTRONICS,"(i) Maheshwari L K Analog ElectronicsPHI, 2005"
,,,"(ii) Maheshwari L K & M M S AnandLab Experiments&PSPICE Simu in Analog Electronics ExperimentsPHI, 2005"
1595,ECE F343,COMMUNICATION NETWORKS,Behrouz A. ForouzanData communications and networking TMH; 5th Edition; 2013
