COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1438,BIO F451,BIOPROCESS TECHNOLOGY,3,-,3,1,JAYATI RAY DUTTA,G104,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Supratim Ghosh,,,,,
,,,,,,,Jayati Ray Dutta,G104,Th,10,,
,,,,,,,Supratim Ghosh,,,,,
2009,BIO G523,ADV & APPLIED MICROBIO,3,2,5,1,RUCHI JAIN DEY,G104,M W F,4,11/03 - 11.00 - 12.30PM,06/05 AN
,,,,,,,Jayati Ray Dutta,,,,,
,,Practical,,,,,Ruchi Jain Dey,A123,T Th,8 9,,
,,,,,,,Anannya Dhanwal,,,,,
,,,,,,,Tata Pranathi,,,,,
151,BIO G542,ADVANCED CELL AND MOLECULAR BIOLOGY,-,-,5,1,PIYUSH KHANDELIA,G104,M W F,3,12/03 - 9.30 - 11.00AM,08/05 FN
,,,,,,,Shuvadeep Maity,,,,,
,,Practical,,,,,Piyush Khandelia,A124,M W,8 9,,
,,,,,,,Kottam geetha lakshmi,,,,,
,,,,,,,Pragati Karemore,,,,,
1887,BIO G570,RECENT DEVELOPMENTS IN BIOLOGY,1,-,1,1,RUCHI JAIN DEY,G104,F,9,15/03 - 11.00 - 12.30PM,16/05 AN
956,BIO G643,PLANT BIOTECHNOLOGY,3,2,5,1,GIREESHA T MOHANNATH,G104,T Th,3,13/03 - 4.00 - 5.30PM,10/05 FN
,,,,,,,Sridev Mohapatra,,,,,
,,,,,,,Gireesha T Mohannath,G104,F,10,,
,,,,,,,Sridev Mohapatra,,,,,
,,Practical,,,,,Gireesha T Mohannath,A123,M W,6 7,,
,,,,,,,Abirami T S,,,,,
,,,,,,,Murali Krishna Ramgopal,,,,,
549,BITS C790T,INDEPENDENT STUDY,-,-,1,1,ALIVELU MANGA PARIMI,,,,,
596,BITS C791T,TEACHING PRACTICE I,-,-,1,1,ALIVELU MANGA PARIMI,,,,,
602,BITS C792T,TEACHING PRACTICE II,-,-,1,1,ALIVELU MANGA PARIMI,,,,,
520,BITS C797T,PHD SEMINAR,-,-,1,1,ALIVELU MANGA PARIMI,,,,,
553,BITS C799T,PHD THESIS,-,-,10,1,ALIVELU MANGA PARIMI,,,,,
