COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1654,CHEM F266,STUDY PROJECT,-,-,3,1,CHANCHAL CHAKRABORTY,,,,,
1580,CHEM F329,ANALYTICAL CHEMISTRY,3,1,4,1,N RAJESH,G101,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,N Rajesh,G101,F,10,,
,,Practical,,,,,N Rajesh,LAB,T,10 11,,
,,,,,,,Christina Nilavu,,,,,
1561,CHEM F341,CHEMICAL EXPER II,-,4,4,1,BALAJI GOPALAN,B126,M W,6 7 8,,
,,,,,,,Anil Kumar B M,,,,,
,,,,,,,Dyagala Shalini,,,,,
,,,,,,,Govu Radha,,,,,
,,,,,,,Neha K Nambiar,,,,,
,,,,,,,Satya Narayan Guin,,,,,
1562,CHEM F342,ORGANIC CHEMISTRY IV,3,-,3,1,TANMAY CHATTERJEE,G101,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,Anupam Bhattacharya,,,,,
,,,,,,,Tanmay Chatterjee,G101,W,10,,
,,,,,,,Anupam Bhattacharya,,,,,
,,Tutorial,,,,,Tanmay Chatterjee,G101,T,8,,
,,,,,,,Anupam Bhattacharya,,,,,
1563,CHEM F343,INORGANIC CHEMISTRY III,3,-,3,1,R KRISHNAN,G101,M W F,4,13/03 - 2.00 - 3.30PM,11/05 AN
,,Tutorial,,,,,R Krishnan,G101,Th,8,,
1669,CHEM F366,LABORATORY PROJECT,-,-,3,1,CHANCHALCHAKRABORT,,,,,
1739,CHEM F367,LABORATORY PROJECT,-,-,3,1,CHANCHAL CHAKRABORTY,,,,,
1688,CHEM F376,DESIGN PROJECT,-,-,3,1,ARIJIT MUKHERJEE,,,,,
1755,CHEM F377,DESIGN PROJECT,-,-,3,1,ARIJIT MUKHERJEE,,,,,
1573,CHEM F412,PHOTOCHEM & LASERSPECTR,3,-,3,1,SUBIT KUMAR SAHA,G102,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
,,,,,,,Durba Roy,,,,,
