COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1492,PHY F344,ADVANCED PHYSICS LAB,-,3,3,1,SUBRAHMANYA BHIMA SA,B214,M W,6 7 8,,
,,,,,,,B Harihara  Venkataraman,,,,,
,,,,,,,Geetika Sahu,,,,,
,,,,,,,Greeshma Gopinath,,,,,
,,,,,,,Priyanka Mitra,,,,,
,,,,,,,Sreeshna S,,,,,
1683,PHY F366,LABORATORY PROJECT,3,-,3,1,RICKMOY SAMANTA,,,,,
1751,PHY F367,LABORATORY PROJECT,-,-,3,1,RICKMOY SAMANTA,,,,,
1700,PHY F376,DESIGN PROJECT,3,-,3,1,SUVADIP DAS,,,,,
1767,PHY F377,DESIGN PROJECT,-,-,3,1,SUVADIP DAS,,,,,
2136,PHY F379,THIN FILM TECHNOLOGY,3,-,3,1,B HARIHARA VENKATARA,G202,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,VSN Murthy,,,,,
,,,,,,,B Harihara  Venkataraman,G206,Th,10,,
1495,PHY F412,INTRO TO QUAN FIELDTHEO,3,1,4,1,PRASANT SAMANTRAY,G202,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
1496,PHY F413,PARTICLE PHYSICS,3,1,4,1,RAHUL NIGAM,G202,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
1504,PHY F420,QUANTUM OPTICS,3,1,4,1,ARANYA BHUTI BHATTACHAJEE,G202,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Aranya Bhuti Bhattacherjee,G202,M,10,,
