COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1529,IS F341,SOFTWARE ENGINEERING,3,1,4,1,NARASIMHA BOLLOJU,I113,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
,,Practical,,,,,Narasimha Bolloju,I015,T,7 8,,
1011,MATH F112,MATHEMATICS II,3,-,3,1,Deepika,F108,M W F,2,11/03 - 11.00 - 12.30PM,06/05 AN
,,,,,,2,Pratyusha Chattopadhyaa,F103,M W F,8,,
,,,,,,3,Debopam Chakraborthy,F107,M W F,2,,
,,,,,,4,NIJJWAL KARAK,F104,M W F,2,,
,,,,,,5,Anil Nemili,F105,M W F,8,,
,,,,,,6,Sharan Gopal,F104,M W F,8,,
,,,,,,7,A Michael Alphonse,F103,M W F,2,,
,,Tutorial,,,,1,Deepika,G202,T,7,,
,,,,,,,Ruddarraju Amrutha,,,,,
,,,,,,2,Pratyusha Chattopadhyaa,G201,T,7,,
,,,,,,,Lokesh Kumar Duchaniya,,,,,
,,,,,,3,Debopam Chakraborthy,G204,T,7,,
,,,,,,,Debismita Nayak,,,,,
,,,,,,4,Nijjwal Karak,G205,T,7,,
,,,,,,,Rahul Vijay Bhagat,,,,,
,,,,,,5,Anil Nemili,G206,T,7,,
,,,,,,,Ankur Pandey,,,,,
,,,,,,6,Sharan Gopal,G207,T,7,,
,,,,,,,Sandhya Mel,,,,,
,,,,,,7,A Michael Alphonse,G208,T,7,,
,,,,,,,Ameya kolhatkar,,,,,
,,,,,,8,PK Sahoo,G101,T,7,,
,,,,,,,Sai Swagat Mishra,,,,,
,,,,,,9,TSL Radhika,G102,T,7,,
,,,,,,,Moreshwar Jagadeorao Tayd,,,,,
,,,,,,10,K Bhargav Kumar,G103,T,7,,
,,,,,,,Nitin Kumar Sharma,,,,,
,,,,,,11,G Murali Mohan Reddy,G104,T,7,,
,,,,,,,Akankshya Sahu,,,,,
,,,,,,12,Jhuma Sen Gupta,G105,T,7,,
,,,,,,,Dheeraj Singh Rana,,,,,
,,,,,,13,Rohit Gupta,G106,T,7,,
,,,,,,,Shubham Atmaram Narawad,,,,,
,,,,,,14,Sushil Bhunia,G107,T,7,,
,,,,,,,Aaqid Mohi Ud Din Bhat,,,,,
,,,,,,,Amritanshu Rai,,,,,
