COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1607,HSS F338,COMPARATIVE INDIAN LIT,3,-,3,1,MG PRASUNA,J119,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,MG Prasuna,J119,Th,10,,
1832,HSS F340,POST COLONIALLITERATURE,3,-,3,1,VIJAY KUMAR T,J107,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Vijay Kumar T,J107,M,10,,
2270,HSS F363,DISASTER ANDDEVELOPMENT,3,-,3,1,BISWANATH DASH,J115,M W F,7,12/03 - 9.30 - 11.00AM,08/05 FN
2290,HSS F369,CASTE AND GENDER ININDIA,3,-,3,1,SHILPAA ANAND,J120,M W F,8,16/03 - 11.00 - 12.30PM,18/05 AN
2566,HSS F378,CINEMAS OF INDIA: FROMPAST TO PRESENT,3,-,3,1,SPANDAN BHATTACHARYA,J121,M W F,8,16/03 - 11.00 - 12.30PM,18/05 AN
2567,HSS F379,INTRODUCTION TOPHILOSOPHY OF SCIENCE,3,,3,1,BISWANATH DASH,J115,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Biswanath Dash,J115,M,10,,
2631,HSS F381,ENVIRONMENTAL SUSTAINVENTURES,3,,3,,LAVANYA SURESH,F101,M W F,11 12,13/03 - 4.00 - 5.30PM,10/05 FN
2632,HSS F382,HOUSING: PROGRAMS POLICIES AND PRACTICES,3,-,3,1,HARSH MITTAL,J120,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Harsh Mittal,J120,M,10,,
1341,INSTR F241,MICROPROC &INTERFACING,3,1,4,1,SUBHRADEEP PAL,F102,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,,,,,2,Anakhi Hazarika,G208,M W F,2,,
,,,,,,3,S Gurunarayanan,F105,M W F,2,,
,,Practical,,,,1,Runa Kumari,I012,T,2 3,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,2,Sourav Nandi,I013,T,2 3,,
,,,,,,,Sanjana Mathew,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,3,Subhradeep Pal,I013,F,6 7,,
,,,,,,,Thalla Narasimha Swetha,,,,,
,,,,,,,Keerthi C J,,,,,
,,,,,,4,Anakhi Hazarika,I012,W,6 7,,
,,,,,,,Thalla Narasimha Swetha,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,5,Ravikiran Yeleswarapu,I012,F,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,6,Ravikiran Yeleswarapu,I012,M,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Parvathy nair,,,,,
,,,,,,7,Ravikiran Yeleswarapu,I013,Th,6 7,,
,,,,,,,Krishnapriya G B,,,,,
,,,,,,,Parvathy nair,,,,,
,,,,,,8,TO BE ANNOUNCED,I013,Th,2 3,,
,,,,,,,Ch Suresh Kumar,,,,,
,,,,,,,Krishnapriya G B,,,,,
,,,,,,9,Ramya K,I012,Th,2 3,,
,,,,,,,Balasubramanian Malayappa,,,,,
,,,,,,,Gowtham Polumati,,,,,
