COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
1476,MATH F471,NONLINEAR OPTIMIZATION,"1.      M. S. Bazzara, H.D. sherali and C.M. Shetty NonlinearProgramming: Theory and AlgorithmsWiley-Interscience; 3rd edition, 2006."
1477,MATH F481,COMMUTATIVE ALGEBRA,"M. F. Atiyah and I. G. Macdonald Introduction to commutative algebra,Taylor & Francis, 1994."
1013,ME F112,WORKSHOP PRACTICE,"(i) Parashar, B S N & R K Mittal Elements of Manufacturing ProcessesPHI , 2003"
,,,"(ii) Sangwan, K S & Others Workshop Practice ManualNotes-EDD, 2007"
2397,ME F218,ADVANCED MECHANICS OF SOLIDS,"Arthur P., Boresi and R.J. Schmidt ""Advanced Mechanics of Materials""John Wiley, 6th Edition, 2003."
2398,ME F219,MANUFACTURING PROCESSES,"Serope Kalpakjian and Steven R. Schmid “Manufacturing Processes forEngineering Materials”Pearson Education (Low Price Edition), 2003"
2430,ME F220,HEAT TRANSFER,"Frank P. Incropera , David P. Dewitt , Theodore L. Bergman , AdrienneS. LavineIncropera's Principles of Heat and Mass TransferWiley India Edition, 2018"
2399,ME F221,MECHANISMS AND MACHINES,"Uicker, JJ and OthersTheory of Machines and Mechanisms OUP 3rd Ed., 2003"
1263,ME F241,MACHINE DESIGN & DRAWING,"Richard G. Budynas, J. Keith Nisbett Shigley's Mechanical EngineeringDesignTata–McGraw Hill,. 9th SI Edition, New Delhi, 2011"
1264,ME F242,IC ENGINES,"Ganeshan VInternal Combustion EnginesTata McGraw-Hill, 4th Edition, 2012"
1265,ME F243,PRODUCTION TECHNIQUES I,"Serope Kalpakjian and Steven R. Schmid “Manufacturing Processes forEngineering Materials”Pearson Education (Low Price Edition), 2003"
1663,ME F266,STUDY PROJECT,No text book required
2406,ME F318,COMPUTER-AIDED DESIGN,"(i) Zeid , Ibrahim “Mastering CAD/CAM”Tata McGraw-Hill, 2007"
