COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1191,CE F241,ANALYSIS OF STRUCTURES,3,-,3,1,CHANDU PARMI,F109,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,,,,,,Raghu Piska,,,,,
,,Tutorial,,,,,Raghu Piska,F109,F,6,,
,,,,,,,Chandu Parimi,,,,,
,,,,,,,Anna Mariya Shajan,,,,,
1192,CE F242,CONSTRUCTION PLANNING & TECH,3,-,3,1,ARKAMITRA KAR,F109,M W F,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,Tutorial,,,,,Krishnendu Sivadas,F109,Th,1,,
1193,CE F243,SOIL MECHANICS,3,1,4,1,AMMAVAJJULA SESHA SAI,F109,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,Practical,,,,1,Anasua Guharay,LAB,F,6 7,,
,,,,,,,Meenu Krishnan,,,,,
,,,,,,2,Anasua Guharay,LAB,Th,8 9,,
,,,,,,,Ansab shafi mir,,,,,
,,Tutorial,,,,,Ammavajjula Sesha SaiRag,F109,T,1,,
1194,CE F244,HIGHWAY ENGINEERING,3,1,4,1,SRIDHAR RAJU,F109,T,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,Sridhar Raju,F201,Th,4 5,,
,,Practical,,,,1,Sridhar Raju,LAB,T,8 9,,
,,,,,,,Akshay Gundla,,,,,
,,,,,,2,Sridhar Raju,LAB,W,6 7,,
,,,,,,,Prasanta Kumar Sahu,,,,,
,,Tutorial,,,,,Sridhar Raju,F109,F,7,,
1652,CE F266,STUDY PROJECT,-,-,3,1,PN RAO,,,,,
2282,CE F321,ENGINEERING HYDROLOGY,3,-,3,1,K SRINIVASA RAJU,F109,M W F,4,13/03 - 2.00 - 3.30PM,11/05 AN
,,Tutorial,,,,,K Srinivasa Raju,F109,M,1,,
1199,CE F342,WATER & WASTEWATER TREATMENT,3,1,4,1,MURARI R R VARMA,F109,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Murari R R Varma,F109,F,10,,
,,Practical,,,,,Nagalapalli Satish,D108,F,7 8,,
,,,,,,,Murari R R Varma,,,,,
,,Tutorial,,,,,Murari R R Varma,F109,W,1,,
1200,CE F343,DESIGN OF STEEL STRUCTURES,3,-,3,1,CHANDU PARIMI,F109,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,Chandu Parimi,F109,W,5,,
,,Tutorial,,,,,Pujitha Ganapathi C,F109,M,5,,
,,,,,,,Chandu Parimi,,,,,
1667,CE F366,LABORATORY PROJECT,-,-,3,1,MOHAN S C,,,,,
1737,CE F367,LABORATORY PROJECT,-,-,3,1,MOHAN S C,,,,,
