COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1686,CE F376,DESIGN PROJECT,-,-,3,1,ANMALA JAGADEESH,,,,,
1753,CE F377,DESIGN PROJECT,-,-,3,1,ANMALA JAGADEESH,,,,,
1214,CE F411,OPER RESEARCH FOR ENGIN,3,-,3,1,A VASAN,F204,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,A Vasan,F204,Th,10,,
1223,CE F415,DES OF PREST CONC STRUCT,3,-,3,1,BAHURUDEEN A,F201,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Bahurudeen A,F201,M,10,,
1230,CE F416,COMP APPL IN CIVIL ENGG,2,2,4,1,ARKAMITRA KAR,F201,M W,3,12/03 - 4.00 - 5.30PM,09/05 AN
,,Practical,,,,,Arkamitra Kar,LAB,T Th,7 8,,
1236,CE F423,GREEN BUILD & ENER CONSE,3,-,3,1,MURARI R R VARMA,G204,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
1218,CE F425,AIRPORT RAIL & WATERWAYS,3,-,3,1,V VINAYAKA RAM,F201,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
230,CE G514,STRUCTURAL OPTIMIZATION,3,1,4,1,A VASAN,F201,M W F,4,12/03 - 9.30 - 11.00AM,08/05 FN
256,CE G518,PAVEMENT ANALYSIS & DES,3,1,4,1,V VINAYAKA RAM,F201,T Th,3,11/03 - 11.00 - 12.30PM,06/05 AN
,,,,,,,V Vinayaka Ram,F202,Th,10,,
,,Practical,,,,,V Vinayaka Ram,LAB,T,8 9,,
2338,CE G566,PUBLIC TRANSPORTATION,3,1,4,1,PRASANTA KUMAR SAHU,F202,T Th,5,12/03 - 9.30 - 11.00AM,08/05 FN
,,,,,,,Prasanta Kumar Sahu,F202,W,10,,
,,Practical,,,,,Prasanta Kumar Sahu,LAB,F,8 9,,
