COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1578,CHEM F414,BIO & CHEMICAL SENSORS,3,-,3,1,J SUBBALAKSHMI,G102,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
736,CHEM G551,ADV ORGANIC CHEMISTRY,-,-,5,1,KVG CHANDRASEKHAR,G102,M W F,4,12/03 - 9.30 - 11.00AM,08/05 FN
,,,,,,,Tanmay Chatterjee,,,,,
7,CHEM G552,ADVANCED INORGANICCHEMISTRY,-,-,5,1,SATYA NARAYAN GUIN,G102,T Th,3,13/03 - 4.00 - 5.30PM,10/05 FN
,,,,,,,Satya Narayan Guin,G102,F,10,,
1008,CS F111,COMPUTERPROGRAMMING,3,1,4,1,NIKUMANI CHOUDHURY,F105,T Th,9,15/03 - 2.00 - 3.30PM,17/05 FN
,,,,,,,Nikumani Choudhury,F105,M,10,,
,,,,,,2,Apurba Das,F104,T Th,9,,
,,,,,,,Apurba Das,F104,M,10,,
,,Practical,,,,1,Aneesh Sreevallabh Chivuku,D311,T,4 5,,
,,,,,,,S Rasagna Vakkalanka,,,,,
,,,,,,2,Aneesh Sreevallabh Chivuku,I015,Th,4 5,,
,,,,,,,S Rasagna Vakkalanka,,,,,
,,,,,,3,Jay Kamlesh Dave,I015,M,3 4,,
,,,,,,,Praneeta Krishnaprasad Ma,,,,,
,,,,,,4,Jay Kamlesh Dave,I015,W,3 4,,
,,,,,,,Praneeta Krishnaprasad Ma,,,,,
,,,,,,5,Chittaranjan Hota,D311,M,6 7,,
,,,,,,,Chavali Lalitha,,,,,
,,,,,,6,Chittaranjan Hota,I015,W,5 6,,
,,,,,,,Chavali Lalitha,,,,,
,,,,,,7,Apurba Das,I015,F,3 4,,
,,,,,,,Mekala Kiran,,,,,
,,,,,,8,TO BE ANNOUNCED,D311,M,3 4,,
,,,,,,,Mekala Kiran,,,,,
1094,CS F211,DATA STRUCTURES &ALGO,3,1,4,1,RAMASWAMYVENKATAKR,F102,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,Practical,,,,1,Paresh Saxena,D313,T,6 7,,
,,,,,,,S Shashank,,,,,
,,,,,,2,Paresh Saxena,D311,F,6 7,,
,,,,,,,S Shashank,,,,,
,,,,,,3,Paresh Saxena,D313,,2 3,,
,,,,,,,Attarde Pranjali Devidas,,,,,
,,,,,,4,Paresh Saxena,D311,Th,6 7,,
,,,,,,,Attarde Pranjali Devidas,,,,,
,,Tutorial,,,,1,NL Bhanumurthy,G105,T,1,,
,,,,,,2,NL Bhanumurthy,G105,Th,1,,
,,,,,,3,Barsha Mitra,G106,Th,1,,
1095,CS F212,DATA BASE SYSTEMS,3,1,4,1,JABEZ J CHRISTOPHER,F102,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,Jabez J Christopher,F102,Th,10,,
,,Practical,,,,1,Subhrakanta Panda,I015,M,6 7,,
,,,,,,,Nida Fatima,,,,,
,,,,,,2,Subhrakanta Panda,D313,W,6 7,,
,,,,,,,Nida Fatima,,,,,
,,,,,,3,R Gururaj,D313,Th,2 3,,
,,,,,,,P. Priyanka Chowdary,,,,,
,,,,,,4,R Gururaj,D311,T,6 7,,
,,,,,,,P. Priyanka Chowdary,,,,,
,,Tutorial,,,,1,R Gururaj,G107,T,1,,
,,,,,,2,Jabez J Christopher,I222,M,1,,
,,,,,,3,Jabez J Christopher,G106,T,1,,
1092,CS F213,OBJECT ORIENTED PROG,3,1,4,1,DIPANJAN CHAKRABORTY,F102,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
,,Practical,,,,1,Abhijit Das,D312,M,7 8,,
,,,,,,,Chaitra C R,,,,,
,,,,,,2,Abhijit Das,D312,W,7 8,,
,,,,,,,Chaitra C R,,,,,
,,,,,,3,Aritra Mukherjee,D313,T,8 9,,
,,,,,,,Chillara Anil Kumar,,,,,
,,,,,,4,Aritra Mukherjee,D313,Th,8 9,,
,,,,,,,Chillara Anil Kumar,,,,,
1313,CS F241,MICROPROC &INTERFACING,3,1,4,1,SUBHRADEEP PAL,F102,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,,,,,2,Anakhi Hazarika,G208,M W F,2,,
,,,,,,3,S Gurunarayanan,F105,M W F,2,,
,,Practical,,,,1,Runa Kumari,I012,T,2 3,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,2,Sourav Nandi,I013,T,2 3,,
,,,,,,,Sanjana Mathew,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,3,Subhradeep Pal,I013,F,6 7,,
,,,,,,,Thalla Narasimha Swetha,,,,,
,,,,,,,Keerthi C J,,,,,
,,,,,,4,Anakhi Hazarika,I012,W,6 7,,
,,,,,,,Thalla Narasimha Swetha,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,5,Ravikiran Yeleswarapu,I012,F,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,6,Ravikiran Yeleswarapu,I012,M,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Parvathy nair,,,,,
,,,,,,7,Ravikiran Yeleswarapu,I013,Th,6 7,,
,,,,,,,Krishnapriya G B,,,,,
,,,,,,,Parvathy nair,,,,,
,,,,,,8,TO BE ANNOUNCED,I013,Th,2 3,,
,,,,,,,Ch Suresh Kumar,,,,,
,,,,,,,Krishnapriya G B,,,,,
,,,,,,9,Ramya K,I012,Th,2 3,,
,,,,,,,Balasubramanian Malayappa,,,,,
,,,,,,,Gowtham Polumati,,,,,
,,,,,,10,Sree Rama Amrutha Lahari,I013,W,6 7,,
,,,,,,,Gowtham Polumati,,,,,
,,,,,,,Kurakula Anudeep,,,,,
,,,,,,11,Keerthi C J,I012,Th,6 7,,
,,,,,,,imran khan,,,,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,12,Ramya K,I013,M,5 6,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,,Ritesh Kumar Singh,,,,,
,,,,,,13,Sree Rama Amrutha Lahari,I012,T,6 7,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,,Ritesh Kumar Singh,,,,,
,,,,,,14,Kurakula Anudeep,I013,T,6 7,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,,Ch Suresh Kumar,,,,,
,,Tutorial,,,,1,Soumya J,I113,T,9,,
,,,,,,2,Soumya J,I113,Th,9,,
,,,,,,3,Sourav Nandi,I114,T,9,,
,,,,,,4,Sourav Nandi,I221,M,1,,
,,,,,,5,Subhradeep Pal,I111,T,9,,
,,,,,,6,Subhradeep Pal,I111,Th,9,,
,,,,,,7,Anakhi Hazarika,I112,T,9,,
,,,,,,8,Anakhi Hazarika,I112,Th,9,,
,,,,,,9,Anakhi Hazarika,I111,M,5,,
,,,,,,10,Ravikiran Yeleswarapu,I122,T,9,,
,,,,,,11,Ravikiran Yeleswarapu,I122,Th,9,,
,,,,,,12,Ravikiran Yeleswarapu,I122,W,5,,
1655,CS F266,STUDY PROJECT,-,-,3,1,DIPANJAN CHAKRABORTY,,,,,
1320,CS F303,COMPUTER NETWORKS,3,1,4,1,PARESH SAXENA,F105,M W F,4,13/03 - 2.00 - 3.30PM,11/05  AN
,,Practical,,,,1,G Geethakumari,D311,T,8 9,,
,,,,,,,Anand Agrawal,,,,,
,,,,,,2,G Geethakumari,D311,Th,8 9,,
,,,,,,,Anand Agrawal,,,,,
,,,,,,3,Nikumani Choudhury,D312,F,7 8,,
,,,,,,,Alekhya gorrela,,,,,
,,,,,,4,Nikumani Choudhury,D313,M,7 8,,
,,,,,,,Alekhya gorrela,,,,,
,,Tutorial,,,,1,DipanJan Chakraborty,I211,M,1,,
,,,,,,2,DipanJan Chakraborty,I212,W,1,,
,,,,,,3,Rajib Ranjan Maiti,I212,M,1,,
