COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1023,ECON F211,PRINCIPLES OFECONOMICS,3,-,3,1,SUDATTA BANERJEE,F208,M W F,4,13/03 - 11.00 - 12.30PM,11/05  FN
,,,,,,2,Archana Srivastava,F207,M W F,4,,
,,,,,,3,Mini Thomas,F108,M W F,4,,
,,Tutorial,,,,1,Sudatta Banerjee,F208,W,1,,
,,,,,,2,Archana Srivastava,F207,W,1,,
,,,,,,3,Mini Thomas,F108,W,1,,
1120,ECON F212,FUNDA OF FIN ANDACCOUNT,3,-,3,1,T NAGARAJU,F208,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,T Nagaraju,F208,M,10,,
,,,,,,2,Sunny Kumar Singh,F205,T Th,2,,
,,,,,,,Sunny Kumar Singh,F205,M,10,,
2534,ECON F215,COMPUTATIONALMETHODS FOR ECON,3,-,3,1,BHEEMESHWAR REDDY A,J219,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Bheemeshwar Reddy A,J219,F,10,,
1442,ECON F241,ECONOMETRIC METHODS,3,-,3,1,BHEEMESHWAR REDDY A,F207,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,Tutorial,,,,,Bheemeshwar Reddy A,F207,Th,1,,
1443,ECON F242,MICROECONOMICS,3,-,3,1,VIVEKANANDA MUKHERJE,F207,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,Vivekananda Mukherjee,F207,Th,10,,
,,Tutorial,,,,,Vivekananda Mukherjee,F207,T,1,,
1444,ECON F243,MACROECONOMICS,3,-,3,1,SUNNY KUMAR SINGH,F207,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,Tutorial,,,,,Sunny Kumar Singh,F207,Th,9,,
1445,ECON F244,ECONOMIC OF GROWTH &DEV,3,-,3,1,SUDATTA BANERJEE,F207,M W F,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,Tutorial,,,,,Sudatta Banerjee,F207,T,9,,
1656,ECON F266,STUDY PROJECT,-,-,3,1,ARCHANA SRIVASTAVA,,,,,
1773,ECON F314,INDUSTRIAL ECONOMICS,3,-,3,1,DUSHYANT KUMAR,J220,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Dushyant Kumar,J220,Th,10,,
1923,ECON F315,FINANCIAL MANAGEMENT,3,-,3,1,Sravani Bharandev,G208,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Sravani Bharandev,G208,M,10,,
,,,,,,2,NIVEDITA SINHA,F207,T Th,2,,
,,,,,,,Nivedita Sinha,F207,M,10,,
