COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1304,PHA F414,BIOPHARMACEUTICS,3,-,3,1,NIRMAL J,G106,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
1307,PHA F417,PHARMACOECONOMICS,3,-,3,1,ABHIJEET RAJENDRA JOS,G106,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Abhijeet Rajendra Joshi,G106,Th,10,,
351,PHA G532,Q A & REGULATORYAFFAIRS,3,2,5,1,AKASH C,G106,M W F,5,12/03 - 9.30 - 11.00AM,08/05 FN
,,Practical,,,,,Akash C,LAB,T,7 8 910,,
,,,,,,,Padhi sriddhant,,,,,
,,,,,,,Panchal Kanan Jayesh Pann,,,,,
2292,PHA G546,PHARMACEUTICAL BIOSTATISTICS,3,-,3,1,R PUNNA RAO,G106,M W F,4,13/03 - 4.00 - 5.30PM,15/05 AN
67,PHA G611,ADVANCEDPHARMACOLOGY,2,3,5,1,ARTI DHAR,G106,T Th,3,11/03 - 11.00 - 12.30PM,06/05 AN
,,,,,,,Onkar Kulkarni,,,,,
,,,,,,,Arti Dhar,G106,F,10,,
,,,,,,,Onkar Kulkarni,,,,,
,,Practical,,,,,Arti Dhar,A009,T Th,5 6,,
,,,,,,,Ashutosh Balasaheb Mahale,,,,,
,,,,,,,Lahane Ganesh Panditrao,,,,,
,,,,,,,Onkar Kulkarni,,,,,
,,,,,,,Sonam Dolma,,,,,
,,,,,,,Wadkar Avinash Rudrappa,,,,,
747,PHA G612,PHARM KINET & CLINIC PHA,3,2,5,1,R PUNNA RAO,G107,T Th,4,13/03 - 4.00 - 5.30PM,10/05 FN
,,,,,,,R Punna Rao,G107,Th,10,,
,,Practical,,,,,R Punna Rao,LAB,M,7 8 910,,
,,,,,,,Radhika Rajiv Mahajan,,,,,
,,,,,,,Swagata Sinha,,,,,
145,PHA G617,ADV DRUG DELIVERYSYSTEM,3,2,5,1,SWATI BISWAS,G106,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,Swati Biswas,G106,W,10,,
,,Practical,,,,,Swati Biswas,LAB,T Th,2 3,,
,,,,,,,Kothari prafful pradeep,,,,,
,,,,,,,Naithik jain,,,,,
2390,PHA G624,PRINCIPLES OFTOXICOLOGY,-,-,5,1,ABHIJEET RAJENDRA JOS,G107,M W F,3,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,Srinivas Prasad K,,,,,
1014,PHY F110,PHYSICS LABORATORY,-,2,1,1,Prasant Samantray,A222,M,3 4,,15/05 AN
,,,,,,,Aiswarya N M,,,,,
,,,,,,2,Asrarul Haque,A222,M,6 7,,
,,,,,,,Suraj Kumar Maurya,,,,,
,,,,,,3,Suvadip Das,A222,F,3 4,,
,,,,,,,Aprajita srivastav,,,,,
,,,,,,4,Swastik Bhattacharya,A222,T,5 6,,
,,,,,,,Anamika Avinash Pathak,,,,,
,,,,,,5,Suvadip Das,A222,F,6 7,,
,,,,,,,Kulkarni akshay avinash,,,,,
,,,,,,6,RAHUL NIGAM,A222,Th,5 6,,
,,,,,,,ViswaKannan R K,,,,,
,,,,,,7,Aranya Bhuti Bhattacherjee,A222,W,3 4,,
,,,,,,,Akhil U Nair,,,,,
,,,,,,8,Asrarul Haque,A222,W,6 7,,
,,,,,,,Rakesh kumar jha,,,,,
,,,,,,9,Tanay Nag,A222,T,3 4,,
,,,,,,,Urjjarani Patel,,,,,
,,,,,,10,Tanay Nag,A222,Th,3 4,,
,,,,,,,Gourab das,,,,,
,,,,,,11,Subhash N. Karbelkar,A222,F,9 10,,
,,,,,,,Hiwase Prajakta Mohanrao,,,,,
1015,PHY F111,MECH OSCIL & WAVES,3,-,3,1,PK Thiruvikraman,F102,T Th,1,12/03 - 2.00 - 3.30PM,08/05 AN
,,,,,,,Rickmoy Samanta,,,,,
,,,,,,,PK Thiruvikraman,F102,W,10,,
,,,,,,2,PK Thiruvikraman,F103,T Th,9,,
,,,,,,,Rickmoy Samanta,,,,,
,,,,,,,PK Thiruvikraman,F103,M,10,,
,,,,,,,Rickmoy Samanta,,,,,
,,Tutorial,,,,1,Tanay Nag,G201,T Th,8,,
,,,,,,2,Suvadip Das,G202,T Th,8,,
,,,,,,3,SUBHADEEP ROY,F203,T Th,8,,
,,,,,,4,Subrahmanya Bhima Sankar,G204,T Th,8,,
,,,,,,5,Rickmoy Samanta,G204,T Th,5,,
,,,,,,6,Tanay Nag,G201,M W,5,,
,,,,,,7,Suvadip Das,G202,M W,5,,
,,,,,,8,Subhadeep Roy,G203,M W,5,,
