COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
2615,CHE F315,MACHINE LEARNING FOR CHE ENG,3,-,3,1,LAKSHMINARAYANAN SAM,F201,T,10 11,12/03 - 9.30 - 11.00AM,08/05 FN
,,,,,,,Lakshminarayanan Samaved,F201,Th,11,,
1188,CHE F341,CHEMICAL ENGG LAB II,-,3,3,1,BALAJI KRISHNAMURTHY,LAB,M W,6 7 8,,
,,,,,,,Chitturi Huldah Suharika,,,,,
,,,,,,,Jashaswinee Swain,,,,,
,,,,,,,Vikrant Kumar S,,,,,
1189,CHE F342,PROCESS DYN & CONTROL,3,-,3,1,VIKRANT KUMAR S,F205,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,Vikrant Kumar S,F203,W,10,,
,,Tutorial,,,,,Dasika Prabhat Sourya,F205,W,1,,
1190,CHE F343,PROCESS DES PRINCIPLE II,3,-,3,1,ARNAB DUTTA,F205,M W F,4,13/03 - 2.00 - 3.30PM,11/05  AN
,,Tutorial,,,,,Arnab Dutta,F205,M,1,,
,,,,,,,Malayanur Srilekha,,,,,
1668,CHE F366,LABORATORY PROJECT,-,-,3,1,ARNAB DUTTA,,,,,
1738,CHE F367,LABORATORY PROJECT,-,-,3,1,ARNAB DUTTA,,,,,
1687,CHE F376,DESIGN PROJECT,-,-,3,1,ARNAB DUTTA,,,,,
1754,CHE F377,DESIGN PROJECT,-,-,3,1,ARNAB DUTTA,,,,,
1206,CHE F411,ENVIR POLLUTION CONTROL,3,-,3,1,JAIDEEP CHATTERJEE,F204,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
1202,CHE F433,CORROSION ENGINEERING,3,-,3,1,RAMESH BABU A,F204,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
