COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1880,MATH F456,COSMOLOGY,3,-,3,1,B MISHRA,I112,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
1476,MATH F471,NONLINEAR OPTIMIZATION,3,-,3,1,K VENKATA RATNAM,I111,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
1477,MATH F481,COMMUTATIVE ALGEBRA,3,-,3,1,PRATYUSHA CHATTOPADHYAY,I112,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
1013,ME F112,WORKSHOP PRACTICE,1,1,2,1,SUJITH R,F105,F,1,16/03 - 9.30 - 11.00AM,20/05 FN
,,,,,,2,Prabakaran Saravanan,F104,F,1,,
,,Practical,,,,1,Ravi Shanker Vidyarthy,WS,Th,3 4 5,,
,,,,,,,Pichika S V V S Narayana,,,,,
,,,,,,,Sanjeet Kumar,,,,,
,,,,,,,Y S Prasanna,,,,,
,,,,,,2,Piyush Chandra Verma,WS,T,3 4 5,,
,,,,,,,Gururaja S,,,,,
,,,,,,,Sanjeet Kumar,,,,,
,,,,,,,Y S Prasanna,,,,,
,,,,,,3,Sujith R,WS,W,3 4 5,,
,,,,,,,Gudlavalleti Deepak Kumar,,,,,
,,,,,,,Gururaja S,,,,,
,,,,,,,Kandula Uday Kumar Reddy,,,,,
,,,,,,4,Ravi Shanker Vidyarthy,WS,S,3 4 5,,
,,,,,,,Ahsan Ul Haq,,,,,
,,,,,,,Kandula Uday Kumar Reddy,,,,,
,,,,,,,Mada Rukmini Sai Rupa Sri,,,,,
,,,,,,5,Ronanki Suresh,WS,M,3 4 5,,
,,,,,,,Kaleru Sai Kiran,,,,,
,,,,,,,Rahul kumar,,,,,
,,,,,,6,Prabakaran Saravanan,WS,F,3 4 5,,
,,,,,,,Ahsan Ul Haq,,,,,
,,,,,,,Ronanki Suresh,,,,,
2397,ME F218,ADVANCED MECHANICS OFSOLIDS,2,-,2,1,BRAJESH KUMAR PANIGR,G206,M W,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,,,,,2,Amol Vuppuluri,G207,M W,2,,
,,Tutorial,,,,1,Aritra chatterjee,F201,Th,1,,
,,,,,,,Mada Rukmini Sai Rupa Sri,,,,,
,,,,,,2,TO BE ANNOUNCED,F202,Th,1,,
,,,,,,,Mada Rukmini Sai Rupa Sri,,,,,
,,,,,,3,Brajesh Kumar Panigrahi,F203,Th,1,,
,,,,,,,Gudlavalleti Deepak Kumar,,,,,
,,,,,,4,Amol Vuppuluri,F204,Th,1,,
,,,,,,,Gudlavalleti DeepakKumar,,,,,
2398,ME F219,MANUFACTURINGPROCESSES,3,1,4,1,N SURESH KUMAR REDDY,F108,M W F,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,,,,,2,Amritha Priyadarshini,G208,M W F,9,,
,,Practical,,,,1,Anka datta,WS,Th,6 7,,
,,,,,,,Gunashekar G,,,,,
,,,,,,,N Suresh Kumar Reddy,,,,,
,,,,,,2,Danavath Balu,WS,W,6 7,,
,,,,,,,Jose Santo,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,3,Rahul kumar,WS,F,6 7,,
,,,,,,,Kaleru Sai Kiran,,,,,
,,,,,,,Petla Sivateja,,,,,
,,,,,,4,Nagarani s,WS,T,6 7,,
,,,,,,,Gunashekar G,,,,,
,,,,,,,Petla Sivateja,,,,,
,,Tutorial,,,,1,Gunashekar G,F201,T,1,,
,,,,,,,N Suresh Kumar Reddy,,,,,
,,,,,,2,Danavath Balu,F202,T,1,,
,,,,,,,N Suresh Kumar Reddy,,,,,
,,,,,,3,Nagarani s,F203,T,1,,
,,,,,,,Amritha Priyadarshini,,,,,
,,,,,,4,Sreejith S,F204,T,1,,
,,,,,,,Amritha Priyadarshini,,,,,
2430,ME F220,HEAT TRANSFER,3,1,4,1,SATISH K DUBEY,F107,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,,,,,2,Mrinal Ketan Jagirdar,F108,M W F,3,,
,,Practical,,,,1,Suhas shreekrishna,E111,T,6 7,,
,,,,,,,Kalyani Panigrahi,,,,,
,,,,,,,Mrinal Ketan Jagirdar,,,,,
,,,,,,2,Kiran Somisetti,E111,M,6 7,,
,,,,,,,Kalyani Panigrahi,,,,,
,,,,,,,Shaik Gouse Ahammad,,,,,
,,,,,,3,Shine jude hamilton a,E111,W,6 7,,
,,,,,,,Satish K Dubey,,,,,
