COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1566,ECON F412,SECUR ANAL & PORTFOLMGT,3,-,3,1,C H YAGANTI,F208,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
1590,ECON F416,REGIONAL ECONOMICS,3,-,3,1,VIVEKANANDA MUKHERJE,J220,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
2536,ECON F420,APPLIEDMACROECONOMETRICS,3,-,3,1,SHREYA BISWAS,J218,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
1874,ECON F434,INTERNATIONAL BUSINESS,3,-,3,1,ARCHANA SRIVASTAVA,J219,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Archana Srivastava,J219,M,10,,
1875,ECON F435,MARKETING RESEARCH,3,-,3,1,RISHI KUMAR,J220,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
1009,EEE F111,ELECTRICAL SCIENCES,3,-,3,1,MITHUN MONDAL,F103,T Th,1,15/03 - 2.00 - 3.30PM,17/05 FN
,,,,,,,Mithun Mondal,F106,W,10,,
,,,,,,2,Balasubramanian Malayappa,F102,T Th,9,,
,,,,,,,Balasubramanian Malayappa,F102,M,10,,
,,Tutorial,,,,1,Balasubramanian Malayappa,I112,M,7,,
,,,,,,2,Balasubramanian Malayappa,I113,W,7,,
,,,,,,3,Mithun Mondal,I111,T,8,,
,,,,,,4,Mithun Mondal,I111,Th,8,,
,,,,,,5,Mithun Mondal,I111,F,5,,
,,,,,,6,Sayan Kanungo,I113,T,8,,
,,,,,,7,Sayan Kanungo,I113,Th,8,,
,,,,,,8,Sayan Kanungo,I113,F,5,,
,,,,,,9,Sanket Goel,I112,T,8,,
1238,EEE F241,MICROPROC &INTERFACING,3,1,4,1,SUBHRADEEP PAL,F102,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,,,,,2,Anakhi Hazarika,G208,M W F,2,,
,,,,,,3,S Gurunarayanan,F105,M W F,2,,
,,Practical,,,,1,Runa Kumari,I012,T,2 3,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,2,Sourav Nandi,I013,T,2 3,,
,,,,,,,Sanjana Mathew,,,,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,3,Subhradeep Pal,I013,F,6 7,,
,,,,,,,Thalla Narasimha Swetha,,,,,
,,,,,,,Keerthi C J,,,,,
,,,,,,4,Anakhi Hazarika,I012,W,6 7,,
,,,,,,,Thalla Narasimha Swetha,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,5,Ravikiran Yeleswarapu,I012,F,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,6,Ravikiran Yeleswarapu,I012,M,6 7,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Parvathy nair,,,,,
,,,,,,7,Ravikiran Yeleswarapu,I013,Th,6 7,,
,,,,,,,Krishnapriya G B,,,,,
,,,,,,,Parvathy nair,,,,,
,,,,,,8,TO BE ANNOUNCED,I013,Th,2 3,,
,,,,,,,Ch Suresh Kumar,,,,,
,,,,,,,Krishnapriya G B,,,,,
