COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
1590,ECON F416,REGIONAL ECONOMICS,"Jan K. BruecknerLectures on Urban EconomicsCambridge, MA: MIT Press (Low price Indian edition (PHE) is available)Chapter 1,2,3,5,11 (2011)"
2536,ECON F420,APPLIED MACROECONOMETRICS,TO BE ANNOUNCED
1874,ECON F434,INTERNATIONAL BUSINESS,"John D. Daniels & Lee H. Radebaugh International Business,Environment & OperationsPearson Education, 2018, 16th edition."
1875,ECON F435,MARKETING RESEARCH,"MALHOTRA NARESH KMarketing Research: An applied orientation Pearson Education, 2013,6th Edition."
1009,EEE F111,ELECTRICAL SCIENCES,"Leonard S. BobrowFundamentals of Electrical Engineering Adapted by Naveen Gupta,Asian Edition, OUP"
1238,EEE F241,MICROPROC & INTERFACING,"Lyla B DasThe x86 Microprocessors: 8086 to Pentium, Multicores, Atom and the8051 MicrocontrollerArchitecture, Programming and Interfacing, Second Edition"
1239,EEE F242,CONTROL SYSTEMS,"Nagrath I.J. and M. Gopal Control Systems EngineeringNAIL , 5th ed. , 2007"
1240,EEE F243,SIGNALS & SYSTEMS,"Lathi, B PPrinciples of Signal Processing and Linear OUP, 2nd ed., 2009"
1241,EEE F244,MICROELECTRONIC CIRCUITS,"A. S. Sedra & K. C. Smith Microelectronic CiruitsOxford University Press, 7th ed."
1889,EEE F245,CONTROL SYSTEMS LABORATORY,"(i) Nagrath I. J. and M.  Gopal Control Systems EngineeringNew Age International (P) Limited, 5th ed, 2007"
,,,(ii) LabVIEW manualsQuanser-QUBE-Servo manuals TO BE ANNOUNCED
,EEE F246,ELECTRICAL & ELECTRONICCIRCUITS LABORATORY,No text book required
1657,EEE F266,STUDY PROJECT,No text book required
1244,EEE F312,POWER SYSTEMS,"Nagrath I.J. and D.P.Kothari Power System Engg.TMH, 2nd ed,2008"
1245,EEE F341,ANALOG ELECTRONICS,"(i) Maheshwari L K Analog ElectronicsPHI, 2005"
