COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1758,EEE F377,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
1259,EEE F426,FIBRE OPTICS &OPTOELECT,3,-,3,1,PRASANT KUMAR P,I222,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,Prasant Kumar P,I222,M,10,,
2497,EEE F428,ENERGY STORAGESYSTEMS,3,-,3,1,ANKURBHATTACHARJEE,I222,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
1257,EEE F435,DIGITAL IMAGEPROCESSING,3,-,3,1,RAJESH KUMAR TRIPATHY,G107,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
1855,EEE F474,ANTENNA THEORY ANDDESIGN,3,1,4,1,SOURAV NANDI,I222,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
,,Practical,,,,,Sourav Nandi,K125,Th,8 9,,
1895,EEE F477,MODELING OF FIELD-EFFECT NANO  DEVICES,3,-,3,1,SAYAN KANUNGO,I222,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,Sayan Kanungo,I222,Th,10,,
1901,EEE F478,POWER SYSTEMS LAB,-,2,2,1,ALIVELU MANGA PARIMI,K125,M W,7 8,,
,,,,,,,Gudavalli durga k prasad,,,,,
96,EEE G592,MOBILE & PERSONALCOMMUNICATION,3,2,5,1,PRASHANT WALI,I221,M W F,5,14/03 - 2.00 - 3.30PM,14/05 FN
,,Practical,,,,,Cynthia C,H106,M,8 9,,
,,,,,,,Cynthia C,H106,W,7 8,,
80,EEE G622,ADVANCED DIGITALCOMMUNICATION,3,2,5,1,PRASHANT WALI,I221,T Th,4,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Prashant Wali,I221,Th,10,,
,,Practical,,,,,Prashant Wali,I011,T,8 9,,
,,,,,,,Prashant Wali,I011,F,9 10,,
1539,FIN F311,DERIVATIVES & RISK MGMT,3,-,3,1,SHREYA BISWAS,F207,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Shreya Biswas,F207,F,10,,
,,,,,,2,TO BE ANNOUNCED,F208,T Th,3,,
,,,,,,,TO BE ANNOUNCED,F208,F,10,,
