COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
2548,MGTS F316,MANAGERIAL & LEADERSHIP SKILLS,TO BE ANNOUNCED
389,MSE G512,MANUFACT PLANNING & CONT,"Russell R. S. & Taylor B. W.,Operations Management”, International Student Version, 7/e John Wileyand Sons (Asia) Pte. Ltd., 2011"
2066,MST G522,ADVANCED COMPOSITES,"K.K. Chawala Composite materials2nd ed., (1987) Springer-Verlag, New York."
1087,PHA F214,ANATOMY PHYSIO & HYGIENE,"Marieb,Elaine NEssentials of Human Anatomy & Physiology Pearson Edu., 9th ed.,2009"
2504,PHA F216,PHARMACEUTICAL FORMULATIONS I,"Cooper and GunnDispensing for Pharmaceutical Students CBS , 12th ed. ,1987"
1291,PHA F241,PHARMACEUTICAL CHEMISTRY,"(i) L. G. Wade and Maya Shankar Singh Organic ChemistryPearson, 6th Edition"
,,,"(ii) Bentley and Driver’sText book of Pharmaceutical Chemistry 8th Edition, Oxford Medicalpublications"
1292,PHA F242,BIOLOGICAL CHEMISTRY,"Robert K.Murray, et.alHarper’s illustrated biochemistryMcGraw Hill Medical Publishers, 29th edition"
1665,PHA F266,STUDY PROJECT,No text book required
1299,PHA F313,INSTRU METHODS OF ANAL,"(i) Willard, H.H & Others Instrumental Methods of AnalysisCBS , 7th ed , 1988"
,,,"(ii) Parimoo P Pharmaceutical AnalysisCBSI, 1988"
1296,PHA F341,PHARMACOLOGY II,"Tripathi KDEssentials of Medical PharmacologySixth edition, Jaypee brothers, New Delhi 2008"
1298,PHA F342,MEDICINAL CHEMISTRY II,"(i) William O FoyePrinciples of Medicinal ChemistrySixth  Edition, Lea and Febiger,  Phil., 2008"
,,,"(ii) D . Sriram & P. Yogeeswari Medicinal ChemistryPearson Education, second Edition, 2010.( or latest)"
1301,PHA F343,FORENSIC PHARMACY,"Mithal B.M.Textbook of Forensic Pharmacy Vallabh, 10th ed, 1999"
1302,PHA F344,NATURAL DRUGS,"Evans, W C and D. EvanTrease & Evans' Pharmacognosy Saunders , 16th ed , 2009"
