COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1299,PHA F313,INSTRU METHODS OF ANAL,3,1,4,1,A SAJELI BEGUM,G105,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,Practical,,,,,A Sajeli Begum,B108,T,6 7 8,,
,,,,,,,Gupta Suraj Pyarelal Meena,,,,,
,,,,,,,Naik Sharayu Sunil jyoti,,,,,
,,,,,,,Sankar Shridula,,,,,
,,,,,,,Shreya Shashank Chauhan,,,,,
,,,,,,,Tamizhmadi,,,,,
,,,,,,,Velmurugan K,,,,,
,,Tutorial,,,,,A Sajeli Begum,G201,T,1,,
1296,PHA F341,PHARMACOLOGY II,2,1,3,1,ONKAR KULKARNI,G105,M W,5,16/03 - 4.00 - 5.30PM,20/05 AN
,,Practical,,,,,Onkar Kulkarni,A009,T,8 9,,
,,,,,,,Abhipshit kalita,,,,,
,,,,,,,Lavanya S,,,,,
,,,,,,,Praveen kumar,,,,,
,,Tutorial,,,,,Onkar Kulkarni,G105,F,5,,
1298,PHA F342,MEDICINAL CHEMISTRY II,2,1,3,1,P YOGEESWARI,G105,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,Practical,,,,,P Yogeeswari,A025,W,7 8,,
,,,,,,,Darakhshan Begum,,,,,
,,,,,,,Purbali Chakraborty,,,,,
,,,,,,,Sri Ganga,,,,,
,,Tutorial,,,,,P Yogeeswari,G105,F,1,,
1301,PHA F343,FORENSIC PHARMACY,2,-,2,1,BALRAM GHOSH,G105,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,Tutorial,,,,,Balram Ghosh,G201,W,10,,
1302,PHA F344,NATURAL DRUGS,2,1,3,1,A SAJELI BEGUM,G105,M W,4,13/03 - 2.00 - 3.30PM,11/05  AN
,,Practical,,,,,A Sajeli Begum,A009,Th,8 9,,
,,,,,,,Bollareddy Srivarsha Reddy,,,,,
,,,,,,,Erram Venkatesh,,,,,
,,,,,,,P. S Lakshmi Soukya,,,,,
,,,,,,,Shivani,,,,,
,,Tutorial,,,,,A Sajeli Begum,G105,F,4,,
1682,PHA F366,LABORATORY PROJECT,-,-,3,1,ABHIJEET RAJENDRA JOS,,,,,
1750,PHA F367,LABORATORY PROJECT,-,-,3,1,ABHIJEET RAJENDRA JOS,,,,,
1699,PHA F376,DESIGN PROJECT,-,-,3,1,ABHIJEET RAJENDRA JOS,,,,,
1766,PHA F377,DESIGN PROJECT,-,-,3,1,ABHIJEET RAJENDRA JOS,,,,,
1303,PHA F413,PHARMA MANG & QUALCONTR,3,-,3,1,V V KRISHNA VENUGANTI,G205,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
