COM COD,COURSE NO,COURSE TITLE,TEXT BOOK(S)
1432,BIO F342,IMMUNOLOGY,Owen et alKuby's Immunology7th Ed. Freeman press. 2013
1650,BIO F366,LABORATORY PROJECT,No text book required
1736,BIO F367,LABORATORY PROJECT,No text book required
1685,BIO F376,DESIGN PROJECT,No text book required
1752,BIO F377,DESIGN PROJECT,No text book required
1438,BIO F451,BIOPROCESS TECHNOLOGY,"Stanbury, Whitaker & HallPrinciples of Fermentation Technology (1997) Aditya Books (P) Ltd"
2009,BIO G523,ADV & APPLIED MICROBIO,"Madigan MT, Martinko JM, Dunlop P.V, Clark D P Brock biology ofMicroorganismsPearson 12th Ed"
151,BIO G542,ADVANCED CELL AND MOLECULAR BIOLOGY,"Bruce Alberts, Alexander Johnson, Julian Lewis, Martin Raff, KeithRoberts and Peter WalterMolecular Biology of the CellGarland Publishing Inc., New York and London, 2008"
1887,BIO G570,RECENT DEVELOPMENTS IN BIOLOG,No text book required
956,BIO G643,PLANT BIOTECHNOLOGY,"(i) NarayanaswamyS. Plant Cell and Tissue CultureTata McGraw Hill Publishing Company Limited, 1994 (Tenth Reprint2011)"
,,,"(ii) Adrian Slater Nigel W. Scott, and Mark R. FowlerPlant Biotechnology: The Genetic manipulation of plants (Secondedition) Oxford University Press (Reprint 2010)"
549,BITS C790T,INDEPENDENT STUDY,No text book required
596,BITS C791T,TEACHING PRACTICE I,No text book required
602,BITS C792T,TEACHING PRACTICE II,No text book required
520,BITS C797T,PHD SEMINAR,No text book required
553,BITS C799T,PHD THESIS,No text book required
2128,BITS E593,READING COURSE I,No text book required
2490,BITS E594,READING COURSE II,No text book required
2101,BITS E661,RESEARCH METHODOLOGY I,No text book required
857,BITS E793T,PRACTICE LECT SERIES I,No text book required
1003,BITS F110,ENGINEERING GRAPHICS,"Kulkarni D M and Others Engineering Graphics with AutoCADPHI,2009"
