COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1343,INSTR F243,SIGNALS & SYSTEMS,3,-,3,1,PRATYUSH CHAKRABORTY,F105,M W F,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,,,,,2,Venkateswaran R,F104,M W F,9,,
,,Tutorial,,,,1,Pratyush Chakraborty,I122,F,1,,
,,,,,,2,Pratyush Chakraborty,I122,Th,1,,
,,,,,,3,Venkateswaran R,I210,T,1,,
,,,,,,4,Venkateswaran R,I210,Th,1,,
,,,,,,5,S K Chatterjee,I211,F,1,,
,,,,,,6,S K Chatterjee,I211,Th,1,,
,,,,,,7,Rajesh Kumar Tripathy,I212,T,1,,
,,,,,,8,Rajesh Kumar Tripathy,I212,Th,1,,
1344,INSTR F244,MICROELECTRONICCIRCUITS,3,-,3,1,SYED ERSHAD AHMED,F105,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,,,,,2,Niranjan Raj,F104,M W F,3,,
,,Tutorial,,,,1,Syed Ershad Ahmed,I210,T,9,,
,,,,,,2,Syed Ershad Ahmed,I210,Th,9,,
,,,,,,3,Parikshit Parshuram Sahatiy,I211,T,9,,
,,,,,,4,Parikshit Parshuram Sahatiy,I211,Th,9,,
,,,,,,5,Surya Shankar Dan,I212,T,9,,
,,,,,,6,Surya Shankar Dan,I212,Th,9,,
,,,,,,7,Niranjan Raj,I213,T,9,,
,,,,,,8,Niranjan Raj,I213,Th,9,,
1660,INSTR F266,STUDY PROJECT,-,-,3,1,S K CHATTERJEE,,,,,
1348,INSTR F341,ANALOG ELECTRONICS,3,1,4,1,BVVSN PRABHAKAR RAO,F105,M W F,5,16/03 - 4.00 - 5.30PM,20/05 AN
,,,,,,2,Ponnalagu R N,F104,M W F,5,,
,,Practical,,,,1,BVVSN Prabhakar Rao,J106,T,8 9,,
,,,,,,,Bishal kumar keshari,,,,,
,,,,,,,Vanmathi S,,,,,
,,,,,,2,BVVSN Prabhakar Rao,J106,Th,8 9,,
,,,,,,,Vanmathi S,,,,,
,,,,,,3,Prasant Kumar P,J106,W,7 8,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,4,Prasant Kumar P,J106,S,4 5,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,5,Amit Kumar Panda,J106,F,7 8,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,6,Amit Kumar Panda,J106,M,7 8,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,7,Ponnalagu R N,J106,S,2 3,,
,,,,,,,Bishal kumar keshari,,,,,
,,Tutorial,,,,1,BVVSN Prabhakar Rao,I114,M,1,,
,,,,,,2,Ponnalagu R N,I111,M,1,,
,,,,,,3,Ponnalagu R N,I111,W,1,,
,,,,,,4,Prasant Kumar P,I112,M,1,,
,,,,,,5,Prasant Kumar P,I112,W,1,,
,,,,,,6,Amit Kumar Panda,I113,M,1,,
,,,,,,7,Amit Kumar Panda,I113,W,1,,
1349,INSTR F342,POWER ELECTRONICS,3,1,4,1,SUDHA RADHIKA,F105,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Sudha Radhika,F105,F,10,,
,,Practical,,,,1,Sudha Radhika,LAB,M,7 8,,
,,,,,,,Kommanaboina Mahender,,,,,
,,,,,,2,Sudha Radhika,LAB,F,7 8,,
,,,,,,,Kommanaboina Mahender,,,,,
,,,,,,3,STP Srinivas,LAB,T,8 9,,
,,,,,,,N Praneeth,,,,,
,,,,,,4,STP Srinivas,LAB,Th,8 9,,
,,,,,,,N Praneeth,,,,,
,,Tutorial,,,,1,Sudha Radhika,I122,M,1,,
,,,,,,2,Sudha Radhika,I122,W,1,,
,,,,,,3,STP Srinivas,I210,M,1,,
,,,,,,4,STP Srinivas,I210,W,1,,
1350,INSTR F343,INDUS INSTRUMENT &CONT,3,-,3,1,JOYJIT MUKHERJEE,G107,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,Joyjit Mukherjee,G105,W,10,,
,,Tutorial,,,,1,Joyjit Mukherjee,J217,T,7,,
,,,,,,2,Joyjit Mukherjee,J217,Th,7,,
1734,INSTR F366,LABORATORY PROJECT,-,-,3,1,SAYAN KANUNGO,,,,,
1745,INSTR F367,LABORATORY PROJECT,-,-,3,1,SAYAN KANUNGO,,,,,
1694,INSTR F376,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
1761,INSTR F377,DESIGN PROJECT,-,-,3,1,SOURAV NANDI,,,,,
